,ru_old_orth,alt_name_old_orth,ru_old_featuretype,ru_prov,ru_uezd,description,page,SOURCE,html_text,ru_new_orth,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,admin1_partofID,admin2_partofID,partof_id
118,Волокопинежская,,деревня,not_in_text,not_in_text,"ВОЛОКОПИНЕЖСКАЯ , деревня въ Двинской Провинціи близъ рубежа Кеврольскаго. Здѣсь бываетъ въ году ярмарка, именуемая Волокопинежская, въ первыхъ числахъ Декабря мѣсяца; а по тому зовется и Никольскою. По большей части на сію ярмарку пріѣзжаютъ Архангельскіе и Холмогорскіе купцы съ товарами не высокой цѣны для продажи крестьянамъ и для покупки у нихъ деревенскихъ товаровъ , на что привозятъ съ собою деньги.",29,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=28,"ВОЛОКОПИНЕЖСКАЯ , </span><span class=""font0"" style=""font-style:italic;"">деревня</span><span class=""font0""> въ Двинской Провинціи близъ рубежа Кеврольскаго. Здѣсь бываетъ въ году ярмарка, именуемая Волокопинежская, въ первыхъ числахъ Декабря мѣсяца; а по тому зовется и Никольскою. По большей части на сію ярмарку пріѣзжаютъ Архангельскіе и Холмогорскіе купцы съ товарами не высокой цѣны для продажи крестьянамъ и для покупки у нихъ деревенскихъ товаровъ , на что привозятъ съ собою деньги.</span>",Волокопинежская,not_иn_text,not_иn_text,нот_ин_теxт,нот_ин_теxт,нот_ин_теxт,,,
119,Волскъ,,городъ,Саратовскаго Намѣстничества,not_in_text,"ВОЛСКЪ, городъ Саратовскаго Намѣстничества. Въ немъ кромѣ еженедѣльнаго торгу хлѣбомъ и проч. бываетъ съѣздъ крестьянъ 28 Іюня.",29,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=28,"ВОЛСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Саратовскаго Намѣстничества. Въ немъ кромѣ еженедѣльнаго торгу хлѣбомъ и проч. бываетъ съѣздъ крестьянъ 28 Іюня.</span>",Волск,Саратовского Наместничества,not_иn_text,саратовск,нот_ин_теxт,саратовск,29.0,,29.0
120,Волчья,,слобода,Харьковскаго Намѣстничества,Харьковскаго уѣздѣ,"ВОЛЧЬЯ , слобода Харьковскаго Намѣстничества и уѣзду. Здѣсь бываютъ ярмарки Сентября 6, Октября 14, Декабря 9, Генваря 27, Марта 9, Маія и, Іюля 24; торгуютъ купцы мѣлочными товарами, виномъ, пивомъ, медомъ и прочимъ.",29,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=28,"ВОЛЧЬЯ , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества и уѣзду. Здѣсь бываютъ ярмарки Сентября 6, Октября 14, Декабря 9, Генваря 27, Марта 9, Маія и, Іюля 24; торгуютъ купцы мѣлочными товарами, виномъ, пивомъ, медомъ и прочимъ.</span>",Волчья,Харьковского Наместничества,Харьковского уезде,харьковск,харьковск,харьковск|харьковск,37.0,78.0,78.0
121,Волынцы,,мѣстечко,not_in_text,Полотска,"ВОЛЫНЦЫ, мѣстечко въ уѣздѣ города Полотска. Здѣсь бываетъ въ году двѣ ярмарки : первая Іюля 24, вторая Октября 1. Купцы пріѣзжаютъ на оныя изъ сосѣдственныхъ городовъ съ разными мѣлочными товарами.",29,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=28,"ВОЛЫНЦЫ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> въ уѣздѣ города Полотска. Здѣсь бываетъ въ году двѣ ярмарки : первая Іюля 24, вторая Октября 1. Купцы пріѣзжаютъ на оныя изъ сосѣдственныхъ городовъ съ разными мѣлочными товарами.</span>",Волынцы,not_иn_text,Полотска,нот_ин_теxт,полотск,нот_ин_теxт|полотск,,65.0,65.0
122,Вольная,,слобода,Харьковскаго Намѣстничества,Бѣлогородскомъ уѣздѣ,"ВОЛЬНАЯ, слобода Харьковскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ. Въ оной бываютъ годовыя ярмарки : первая Февраля 2, въ день Срѣтенія Господня, вторая Маія 9, въ день Чудотворца Николая , третія въ десятую пятницу , четвертая Августа 15 дня, въ день Успенія. Пріѣзжаютъ на оныя купцы изъ . близъ лежащихъ городовъ; торгуютъ сукнами, шелковыми, бумажными и набойчатыми товарами , полотномъ , желѣзомъ, посудою и проч.",29,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=28,"ВОЛЬНАЯ, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ Бѣлогородскомъ уѣздѣ. Въ оной бываютъ годовыя ярмарки : первая Февраля 2, въ день Срѣтенія Господня, вторая Маія 9, въ день Чудотворца Николая , третія въ десятую пятницу , четвертая Августа 15 дня, въ день Успенія. Пріѣзжаютъ на оныя купцы изъ . близъ лежащихъ городовъ; торгуютъ сукнами, шелковыми, бумажными и набойчатыми товарами , полотномъ , желѣзомъ, посудою и проч.</span>",Вольная,Харьковского Наместничества,Белогородском уезде,харьковск,белогородск,харьковск|белогородск,37.0,89.0,89.0
123,Воронежъ,,главный городъ,Воронежъ Намѣстничества,not_in_text,"ВОРОНЕЖЪ, главный городъ Намѣстничества сего имени. Въ немъ, кромѣ еженедѣльныхъ по понедѣльникамъ , середамъ и пятницамъ торговъ , бываютъ въ году двѣ ярмарки: первая въ городѣ о десятой пятницѣ , а послѣдняя при слободѣ Чижовкѣ въ 29 день Августа.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОРОНЕЖЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Въ немъ, кромѣ еженедѣльныхъ по понедѣльникамъ , середамъ и пятницамъ торговъ , бываютъ въ году двѣ ярмарки: первая въ городѣ о десятой пятницѣ , а послѣдняя при слободѣ </span><span class=""font0"" style=""font-style:italic;"">Чижовкѣ</span><span class=""font0""> въ 29 день Августа.</span>",Воронеж,Воронеж Наместничества,not_иn_text,воронежск,нот_ин_теxт,воронежск,5.0,,5.0
124,Воронежъ,,мѣстечко,Черниговскаго Намѣстничества,Нѣжинскомъ уѣздѣ,"ВОРОНЕЖЪ, мѣстечко Черниговскаго Намѣстничества въ Нѣжинскомъ уѣздѣ. Здѣсь бываетъ въ году три ярмарки.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОРОНЕЖЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничества въ Нѣжинскомъ уѣздѣ. Здѣсь бываетъ въ году три ярмарки.</span>",Воронеж,Черниговского Наместничества,Нежинском уезде,черниговск,нежинск,черниговск|нежинск,38.0,132.0,132.0
125,Воронковъ,,мѣстечко,Кіевскаго Намѣстничества,Переяславскомъ уѣздѣ,"ВОРОНКОВЪ, мѣстечко Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ годъ одна ярмарка въ день Рождества Богородицы; торгуютъ на оныхъ изъ окольныхъ мѣстъ обыватели хлѣбомъ, съѣстными припасами, горячимъ виномъ, деревянною посудою и прочими мѣлочьми.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОРОНКОВЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Кіевскаго Намѣстничества въ Переяславскомъ уѣздѣ. Здѣсь бываетъ въ годъ одна ярмарка въ день Рождества Богородицы; торгуютъ на оныхъ изъ окольныхъ мѣстъ обыватели хлѣбомъ, съѣстными припасами, горячимъ виномъ, деревянною посудою и прочими мѣлочьми.</span>",Воронков,Киевского Наместничества,Переяславском уезде,киевск,переяславск,киевск|переяславск,13.0,135.0,135.0
126,Воронцовка,,село,Тамбовскомъ Намѣстничества,not_in_text,"ВОРОНЦОВКА , село Графа Воронцова въ Тамбовскомъ Намѣстничествѣ около слободы Доброй, Здѣсь бываетъ еженедѣльный съѣздъ для торговли; пріѣзжаютъ сюда купцы, но только привозятъ мѣлочные товары.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОРОНЦОВКА , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Графа Воронцова въ Тамбовскомъ Намѣстничествѣ около слободы Доброй, Здѣсь бываетъ еженедѣльный съѣздъ для торговли; пріѣзжаютъ сюда купцы, но только привозятъ мѣлочные товары.</span>",Воронцовка,Тамбовском Наместничества,not_иn_text,тамбовск,нот_ин_теxт,тамбовск,32.0,,32.0
127,Воскресенскъ,,городъ,Московской Губерніи,not_in_text,"ВОСКРЕСЕНСКЪ, городъ Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по середамъ и субботамъ торговыхъ дней, бываетъ въ Вознесены евъ день годовая ярмарка.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОСКРЕСЕНСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по середамъ и субботамъ торговыхъ дней, бываетъ въ Вознесены евъ день годовая ярмарка.</span>",Воскресенск,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,,1.0
128,Вревъ,,пригородъ,Псковскаго Намѣстничества,not_in_text,"ВРЕВЪ, пригородъ Псковскаго Намѣстничества. Здѣсь бываетъ ярмарка въ день Николая Чудотворца , на которую пріѣзжаютъ изъ разныхъ мѣстъ съ мѣлочнымъ товаромъ.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВРЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">пригородъ</span><span class=""font0""> Псковскаго Намѣстничества. Здѣсь бываетъ ярмарка въ день Николая Чудотворца , на которую пріѣзжаютъ изъ разныхъ мѣстъ съ мѣлочнымъ товаромъ.</span>",Врев,Псковского Наместничества,not_иn_text,псковск,нот_ин_теxт,псковск,25.0,,25.0
129,Выборъ,,пригородъ,Псковскаго Намѣстничества,not_in_text,"ВЫБОРЪ, пригородъ того же Намѣстничества. Здѣсь бываютъ годовыя ярмарки: первая въ день Сошествія Святаго Духа , вторая въ день Успенія Богородицы, третія въ день Воздвиженія. На оныя пріѣзжаютъ Торопецкіе купцы съ мѣлочнымъ товаромъ.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВЫБОРЪ, </span><span class=""font0"" style=""font-style:italic;"">пригородъ</span><span class=""font0""> того же Намѣстничества. Здѣсь бываютъ годовыя ярмарки: первая въ день Сошествія Святаго Духа , вторая въ день Успенія Богородицы, третія въ день Воздвиженія. На оныя пріѣзжаютъ Торопецкіе купцы съ мѣлочнымъ товаромъ.</span>",Выбор,Псковского Наместничества,not_иn_text,псковск,нот_ин_теxт,псковск,25.0,,25.0
130,Выборгъ,,главный городъ,Выборгъ Намѣстничества,not_in_text,"ВЫБОРГЪ, главный городъ Намѣстничества сего имени. Въ ономъ бываетъ въ каждое лѣто ярмарка, какъ въ городѣ приморскомъ; отсюда за море отпускаютъ доски, смолу , желѣзо , а получаютъ соль, табакъ , вина и прочее. Сверхъ сего бываетъ въ году еще двѣ ярмарки: первая Августа 24 вторая Сентября 21, на которыякрестьяне привозятъ по большей части рогатой скотъ, лошадей и съѣстные припасы.",30,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВЫБОРГЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ </span><span class=""font0"">Намѣстничества сего имени. Въ ономъ бываетъ въ каждое лѣто ярмарка, какъ въ городѣ приморскомъ; отсюда за море отпускаютъ доски, смолу , желѣзо , а получаютъ соль, табакъ , вина и прочее. Сверхъ сего бываетъ въ году еще двѣ ярмарки: первая Августа 24 вторая Сентября 21, на которыя</span>крестьяне привозятъ по большей части рогатой скотъ, лошадей и съѣстные припасы.",Выборг,Выборг Наместничества,not_иn_text,выборг,нот_ин_теxт,выборг,6.0,,6.0
131,Высокое,,село,Московской Губерніи,Волоколамскомъ уѣздѣ,"ВЫСОКОЕ, село Московской Губерніи въ Волоколамскомъ уѣздѣ , въ которомъ есть небольшой рядъ , и въ ономъ производится продажа всякаго щепетильнаго товару, деревянной посуды , хлѣба и хмѣлю,",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫСОКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Волоколамскомъ уѣздѣ , въ которомъ есть небольшой рядъ , и въ ономъ производится продажа всякаго щепетильнаго товару, деревянной посуды , хлѣба и хмѣлю,</span>",Высокое,Московской Губернии,Волоколамском уезде,московск,волоколамск,московск|волоколамск,1.0,96.0,96.0
132,Высокое,,село,Тверскаго Намѣстничества,Кашинскомъ уѣздѣ,"ВЫСОКОЕ, село Тверскаго Намѣстничества въ Кашинскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Сентября 8 дня, на которую привозятъ изъ уѣзду холсты льняные разные, да изъ городовъ Ярославля , Переславля Залѣскаго и Углича мѣлочные всякіе небогатые товары.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫСОКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тверскаго Намѣстничества въ Кашинскомъ уѣздѣ. Въ ономъ бываетъ ярмарка Сентября 8 дня, на которую привозятъ изъ уѣзду холсты льняные разные, да изъ городовъ Ярославля , Переславля Залѣскаго и Углича мѣлочные всякіе небогатые товары.</span>",Высокое,Тверского Наместничества,Кашинском уезде,тверск,кашинск,тверск|кашинск,33.0,109.0,109.0
133,Вытегра,,городъ,Олонецкаго Намѣстничества,not_in_text,"ВЫТЕГРА, городъ Олонецкаго Намѣстничества. Здѣсь бываютъ въ году четыре ярмарки : первая Февраля 2, вторая Августа 16, третія Октября 1, четвертая 9 Маія. Сіи ярмарки учреждены бывшимъ Господиномъ НовогороДскимъ Губернаторомъ Сиверсомъ.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫТЕГРА, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Олонецкаго Намѣстничества. Здѣсь бываютъ въ году четыре ярмарки : первая Февраля 2, вторая Августа 16, третія Октября 1, четвертая 9 Маія. Сіи ярмарки учреждены бывшимъ Господиномъ НовогороДскимъ Губернаторомъ Сиверсомъ.</span>",Вытегра,Олонецкого Наместничества,not_иn_text,олонецк,нот_ин_теxт,олонецк,20.0,,20.0
134,Вьічуга,,село,Костромскаго Намѣстничества,Кинешмы,"ВЬІЧУГА, село Костромскаго Намѣстничества въ уѣздѣ города Кинешмы. Здѣсь бываетъ годовая ярмарка въ Троицынъ день.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЬІЧУГА, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Костромскаго Намѣстничества въ уѣздѣ города Кинешмы. Здѣсь бываетъ годовая ярмарка въ Троицынъ день.</span>",Вьичуга,Костромского Наместничества,Кинешмы,кострома,кинешм,кострома|кинешм,14.0,112.0,112.0
135,Вышгородъ,,пригородъ,Псковскаго Намѣстничества,not_in_text,"ВЫШГОРОДЪ , пригородъ Псковскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки : первая въ день, Бориса и Глѣба, а другая въ день Рождества Іоанна Предтечи.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫШГОРОДЪ , </span><span class=""font0"" style=""font-style:italic;"">пригородъ</span><span class=""font0""> Псковскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки : первая въ день, Бориса и Глѣба, а другая въ день Рождества Іоанна Предтечи.</span>",Вышгород,Псковского Наместничества,not_иn_text,псковск,нот_ин_теxт,псковск,25.0,,25.0
136,Вышгородъ,,село,Московской Губерніи,Верейскомъ уѣздѣ,"ВЫШГОРОДЪ, село Московской Губерніи въ Верейскомъ уѣздѣ. Въ ономъ бываютъ двѣ ярмарки въ году: первая въ десятую пятницу , вторая Іюля 2 числа ; на оныя пріѣзжаютъ купцы изъ городовъ Вереи, Можайска и Боровска , и множество сходится крестьянства ; торгуютъ всякими съѣстными припасами и крестьянскимъ товаромъ, какъ-то колесами, дегтемъ и тому подобнымъ.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫШГОРОДЪ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Верейскомъ уѣздѣ. Въ ономъ бываютъ двѣ ярмарки въ году: первая въ десятую пятницу , вторая Іюля 2 числа ; на оныя пріѣзжаютъ купцы изъ городовъ Вереи, Можайска и Боровска , и множество сходится крестьянства ; торгуютъ всякими съѣстными припасами и крестьянскимъ товаромъ, какъ-то колесами, дегтемъ и тому подобнымъ.</span>",Вышгород,Московской Губернии,Верейском уезде,московск,верейск,московск|верейск,1.0,94.0,94.0
137,Вышній Волочокъ,,городъ,Тверскаго Намѣстничества,not_in_text,"ВЫШНІЙ ВОЛОЧОКЪ, городъ Тверскаго Намѣстничества. Въ семъ городѣ бываютъ въ году три ярмарки.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫШНІЙ ВОЛОЧОКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тверскаго Намѣстничества. Въ семъ городѣ бываютъ въ году три ярмарки.</span>",Вышний Волочок,Тверского Наместничества,not_иn_text,тверск,нот_ин_теxт,тверск,33.0,,33.0
138,Вѣтка,,мѣстечко,Могилевскаго Намѣстничества,Рогачева,"ВѢТКА, мѣстечко Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВѢТКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Могилевскаго Намѣстничества въ уѣздѣ города Рогачева. Здѣсь бываетъ въ году три ярмарки.</span>",Ветка,Могилевского Наместничества,Рогачева,могилевск,рогачев,могилевск|рогачев,16.0,141.0,141.0
139,Вѣтка,,мѣстечко,Могилевскаго Намѣстничества,Бѣлицкомъ уѣздѣ,"ВѢТКА, мѣстечко того же Намѣстничества въ Бѣлицкомъ уѣздѣ. Тутъ бываетъ одна ярмарка въ году, на которой торгуютъ разными товарами.",31,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВѢТКА, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> того же Намѣстничества въ Бѣлиц</span>комъ уѣздѣ. Тутъ бываетъ одна ярмарка въ году, на которой торгуютъ разными товарами.",Ветка,Могилевского Наместничества,Белицком уезде,могилевск,белицк,могилевск|белицк,16.0,88.0,88.0
140,Вязники,,городъ,Володимерскаго Намѣстничества,not_in_text,"ВЯЗНИКИ , городъ Володимерскаго Намѣстничества. Здѣсь бываетъ ярмарка въ праздникъ казанскія Пресвятыя Богородицы Іюля 3 дня.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ВЯЗНИКИ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Володимерскаго Намѣстничества. Здѣсь бываетъ ярмарка въ праздникъ казанскія Пресвятыя Богородицы Іюля 3 дня.</span>",Вязники,Володимерского Наместничества,not_иn_text,владимерск,нот_ин_теxт,владимерск,3.0,,3.0
141,Вязовна,,село,Синбирскаго Намѣстничества,Синбирскаго уѣздѣ,"ВЯЗОВНА, село Синбирскаго Намѣстничества и уѣзду. Въ ономъ бываетъ каждую недѣлю торгъ, ",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ВЯЗОВНА, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Синбирскаго Намѣстничества и уѣзду. Въ ономъ бываетъ каждую недѣлю торгъ, </span>",Вязовна,Синбирского Наместничества,Синбирского уезде,синбирск,синбирск,синбирск|синбирск,30.0,71.0,71.0
142,Габзаль,,городъ,Ревельскаго Намѣстничества,not_in_text,"ГАБЗАЛЬ , городъ Ревельскаго Намѣстничества. Въ немъ бываетъ одна въ году ярмарка.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАБЗАЛЬ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Ревельскаго Намѣстничества. Въ немъ бываетъ одна въ году ярмарка.</span>",Габзаль,Ревельского Наместничества,not_иn_text,ревельск,нот_ин_теxт,ревельск,26.0,,26.0
143,Гаврилова,,слобода,Владимерскаго Намѣстничества,Суздальскомъ уѣздѣ,"ГАВРИЛОВА , слобода Владимерскаго Намѣстничества въ Суздальскомъ уѣздѣ. Здѣсь бываетъ кодовая ярмарка Іюля 4 дня; съѣзжаются изъ разныхъ городовъ купцы съ мѣлрчными купецкими товарами.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАВРИЛОВА , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Владимерскаго Намѣстничества въ Суздальскомъ уѣздѣ. Здѣсь бываетъ кодовая ярмарка Іюля 4 дня; съѣзжаются изъ разныхъ городовъ купцы съ мѣлрчными купецкими товарами.</span>",Гаврилова,Владимерского Наместничества,Суздальском уезде,владимерск,суздальск,владимерск|суздальск,3.0,150.0,150.0
144,Гагарино,,село,Тамбовскаго Намѣстничества,Шатскомъ уѣздѣ,"ГАГАРИНО , село Тамбовскаго Намѣстничества въ Шатскомъ уѣздѣ. Бываетъ здѣсь годовая ярмарка на десятой недѣлѣ по Пасхѣ въ пятницу; торгуютъ холстомъ , пенькою , шерстью и прочими мѣлочьми.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАГАРИНО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тамбовскаго Намѣстничества въ Шатскомъ уѣздѣ. Бываетъ здѣсь годовая ярмарка на десятой недѣлѣ по Пасхѣ въ пятницу; торгуютъ холстомъ , пенькою , шерстью и прочими мѣлочьми.</span>",Гагарино,Тамбовского Наместничества,Шатском уезде,тамбовск,шатск,тамбовск|шатск,32.0,156.0,156.0
145,Гадячь,,городъ,Черниговскаго Намѣстничества,not_in_text,"ГАДЯЧЬ, городъ Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки: первая Генваря 6, въ день Св. Богоявленія, вторая Апрѣля 23, въ день Св. Великомученика Георгія, третія Іюня 29, въ день Св. Апостоловъ Петра и Павла, четвертая Октября 14, въ день Преподобныя Параскевы. На оныхъ ярмаркахъ и въ торговые еженедѣльные дни торгуютъ хлѣбомъ, медомъ, воскомъ, табакомъ , саломъ, волною , горячимъ виномъ , лошадьми, рогатымъ скотомъ, овцами и прочею мѣлочью.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАДЯЧЬ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки: первая Генваря 6, въ день Св. Богоявленія, вторая Апрѣля 23, въ день Св. Великомученика Георгія, третія Іюня 29, въ день Св. Апостоловъ Петра и Павла, четвертая Октября 14, въ день Преподобныя Параскевы. На оныхъ ярмаркахъ и въ торговые еженедѣльные дни торгуютъ хлѣбомъ, медомъ, воскомъ, табакомъ , саломъ, волною , горячимъ виномъ , лошадьми, рогатымъ скотомъ, овцами и прочею мѣлочью.</span>",Гадячь,Черниговского Наместничества,not_иn_text,черниговск,нот_ин_теxт,черниговск,38.0,,38.0
146,Галяни,,мѣстечко,Полотскаго Намѣстничества,Динабургскомъ уѣздѣ,"ГАЛЯНИ, мѣстечко Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываютъ въ году двѣ ярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАЛЯНИ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываютъ въ году двѣ ярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлочными товарами , виномъ и пивомъ.</span>",Галяни,Полотского Наместничества,Динабургском уезде,полотск,динабургск,полотск|динабургск,24.0,99.0,99.0
147,Гатницы,Павшино,село,Тульскаго Намѣстничества,Алексина,"ГАТНИЦЫ , ПАВШИНО тожь , село Тульскаго Намѣстничества въ уѣздѣ города Алексина. Въ ономъ бываютъ ярмарки Іюля 8, на Сырной недѣлѣ ко вторникъ. Здѣсь торгуютъ купцы крестьянамъ нужными товарами.",32,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=31,"ГАТНИЦЫ , ПАВШИНО тожь , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ уѣздѣ города Алексина. Въ ономъ бываютъ яр</span>марки Іюля 8, на Сырной недѣлѣ ко вторникъ. Здѣсь торгуютъ купцы крестьянамъ нужными товарами.",Гатницы,Тульского Наместничества,Алексина,тульск,алексин,тульск|алексин,35.0,82.0,82.0
148,Гдовъ,,городъ,Псковскаго Намѣстничества,not_in_text,"ГДОВЪ, городъ Псковскаго Намѣстничества. Здѣсь бываетъ въ году одна ярмарка; торгуютъ лавочнымъ мѣлочнымъ товаромъ.",33,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=32,"ГДОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Псковскаго Намѣстничества. Здѣсь бываетъ въ году одна ярмарка; торгуютъ лавочнымъ мѣлочнымъ товаромъ.</span>",Гдов,Псковского Наместничества,not_иn_text,псковск,нот_ин_теxт,псковск,25.0,,25.0
149,Геннадіевъ,,монастырь,Ярославскаго Намѣстничества,Любимскомъ уѣздѣ,"ГЕННАДІЕВЪ, монастырь Ярославскаго Намѣстничества въ Любимскомъ уѣздѣ. При ономъ каждой годъ 17 Марта бываетъ ярмарка.",33,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=32,"ГЕННАДІЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">монастырь </span><span class=""font0"">Ярославскаго Намѣстничества въ Любимскомъ уѣздѣ. При ономъ каждой годъ 17 Марта бываетъ ярмарка.</span>",Геннадиев,Ярославского Наместничества,Любимском уезде,ярославск,любимск,ярославск|любимск,39.0,123.0,123.0
150,Германова,,слобода,Ярославскаго Намѣстничества,Пошехонскомъ уѣздѣ,"ГЕРМАНОВА , слобода того же Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка въ Никольскую пятницу осенью , и продолжается два дни.",33,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=32,"ГЕРМАНОВА , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> того же Намѣстничества въ Пошехонскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка въ Никольскую пятницу осенью , и продолжается два дни.</span>",Германова,Ярославского Наместничества,Пошехонском уезде,ярославск,пошехонск,ярославск|пошехонск,39.0,139.0,139.0
