,lat_x,hgr_id,name,alt_name,partof_id,lng,lat_y,_type,source_url,text,name_modern_sp,result_placename,searched_placename,admin1,country_name,src_id,country_code,url,local_result,src,ru_prov,prov_modern_sp,prov_stem,admin1_partof,ru_uezd,uezd_modern_sp,uezd_stem,admin2_partof,page,lc_translit
449,1,160,Голтва,,13.0,33.85422,49.4202,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=33,"ГОЛТВА , городъ того же Намѣстничества. Въ ономъ бываетъ въ годъ четыре ярмарки: первая Генваря 6, другая Іюля 29, третія Августа 6, четвертая Ноября 8; торгуютъ на оныхъ пріѣзжіе изъ уѣзду жители разными мѣлочными товарами тамъ родящимися, какъ-то хлѣбомъ, горячимъ виномъ, разнымъ скотомъ, дегтемъ, овчинами , кожами и прочимъ; иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ.",Голтва,Goltva,Голтва,Poltava,Ukraine,708551,UA,http://api.geonames.org/search?north=51.49413&west=29.72503&south=49.08008&name=%D0%93%D0%BE%D0%BB%D1%82%D0%B2%D0%B0&username=jaguillette&east=34.35625&featureClass=P&type=json,geonames_jsons/Голтва_160.json,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,13.0,not_in_text,not_иn_text,нот_ин_теxт,,34,Goltva
455,1,163,Горбатовъ,,17.0,43.06363,56.1311,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=34,"ГОРБАТОВЪ, городъ Нижегородскаго Намѣстничества. Въ немъ каждонедѣльно бываетъ по середамъ торгъ , на которой привозятъ крестьяне хлѣбъ и пеньку.",Горбатов,Gorbatov,Горбатов,Nizjnij Novgorod,Russia,560285,RU,http://api.geonames.org/search?north=60.32867&west=40.00205&south=52.32867&name=%D0%93%D0%BE%D1%80%D0%B1%D0%B0%D1%82%D0%BE%D0%B2&username=jaguillette&east=48.00205&featureClass=P&type=json,geonames_jsons/Горбатов_163.json,geonames,Нижегородскаго Намѣстничества,Нижегородского Наместничества,нижегородск,17.0,not_in_text,not_иn_text,нот_ин_теxт,,35,"Gorbatov"""
518,1,171,Гороховецъ,,3.0,42.69351,56.20152,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=35,"ГОРОХОВЕЦЪ, городъ Владимерскаго Намѣстничества. Здѣсь ярмарокъ нѣтъ, а бываетъ одна, разстояніемъ отъ онаго въ двадцати четырехъ верстахъ за рѣкою Клязьмою при Флорищевской пустынѣ прежде пра здника успенія Пресвятыя Богородицы дней за пять, на которую привозятъ холстъ и прочіе мѣлочные Россійскіе товары.",Гороховец,Gorokhovets,Гороховец,Vladimir,Russia,559459,RU,http://api.geonames.org/search?north=60.133333&west=36.416667&south=52.133333&name=%D0%93%D0%BE%D1%80%D0%BE%D1%85%D0%BE%D0%B2%D0%B5%D1%86&username=jaguillette&east=44.416667&featureClass=P&type=json,geonames_jsons/Гороховец_171.json,geonames,Владимерскаго Намѣстничества,Владимерского Наместничества,владимерск,3.0,not_in_text,not_иn_text,нот_ин_теxт,,36,"Gorokhovets"""
519,1,172,Горошинъ,,88.0,32.73911,49.6548,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=35,"ГОРОШИНЪ, мѣстечко Кіевскаго Намѣстничества въ Лубенскомъ уѣздѣ. Здѣсь бываетъ въ годъ три ярмарки : первая Генваря 1 дня , вторая о проводахъ Свѣтлой седмицы , третія Сентябри 14 дня.",Горошин,Goroshino,Горошин,Poltava,Ukraine,708282,UA,http://api.geonames.org/search?north=51.49413&west=29.72503&south=49.08008&name=%D0%93%D0%BE%D1%80%D0%BE%D1%88%D0%B8%D0%BD&username=jaguillette&east=34.35625&featureClass=P&type=json,geonames_jsons/Горошин_172.json,geonames,Кіевскаго Намѣстничества,Киевского Наместничества,киевск,13.0,Лубенскомъ уѣздѣ,Лубенском уезде,лубенск,88.0,36,"Goroshin"""
521,1,174,Гремячевъ,,46.0,38.6607,54.13149,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=35,"ГРЕМЯЧЕВЪ, слобода Тульскаго Намѣстничества въ Бѣлевскомъ уѣздѣ. Въ оной бываетъ двѣ годовыя ярмарки : первая въ день праздника Преполовенія, вторая въ первый день Петрова поста; на оныя пріѣзжаютъ купцы изъ ближнихъ городовъ съ разными мѣлочными для крестьянства товарами.",Гремячев,Gremyachev,Гремячев,Tula,Russia,558886,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%93%D1%80%D0%B5%D0%BC%D1%8F%D1%87%D0%B5%D0%B2&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Гремячев_174.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,Бѣлевскомъ уѣздѣ,Белевском уезде,белевск,46.0,36,"Gremiachev"""
527,1,176,Гритчино,,73.0,38.10556,54.60417,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=35,"ГРИТЧИНО, село Тульскагу Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка въ день Сошествія Святаго Духа ; а на тое ярмарку товары въ продажу привозятся изъ Каширы, а по близости изъТулы, Серпухова, Венепа и Зарайска по малому числу москотильной мѣлочной и прочіе съѣстные припасы , а паче отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька, медъ, воскъ и прочее деревянное издѣлье.",Гритчино,Gritchino,Гритчино,Tula,Russia,558505,RU,http://api.geonames.org/search?north=58.2&west=33.616667&south=50.2&name=%D0%93%D1%80%D0%B8%D1%82%D1%87%D0%B8%D0%BD%D0%BE&username=jaguillette&east=41.616667&featureClass=P&type=json,geonames_jsons/Гритчино_176.json,geonames,Тульскагу Намѣстничества,Тульскагу Наместничества,тульскаг,35.0,Каширскомъ уѣздѣ,Каширском уезде,каширск,73.0,36,Gritchino
533,1,178,Грязное,Колюпановка,41.0,39.1179,54.0418,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=36,"ГРЯЗНОЕ, КОЛЮПАНОВКА тожь, село Тульскаго Намѣстничества въ Алексинскомъ уѣздѣ. Въ ономъ бываешь ярмарка Іюля 8. Здѣсь торгуютъ купцы товарами , до . крестьянъ принадлежащими.",Грязное,Gryaznoye,Грязное,Rjazan,Russia,558270,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%93%D1%80%D1%8F%D0%B7%D0%BD%D0%BE%D0%B5&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Грязное_178.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,Алексинскомъ уѣздѣ,Алексинском уезде,алексинск,41.0,37,Griaznoe
534,1,179,Грязовецъ,,4.0,40.2525,58.88,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=36,"ГРЯЗОВЕЦЪ, городъ Вологодскаго Намѣстничества. Въ немъ собираются окольные поселяне для мѣлочнаго торгу всякой понедѣльникь , а всякой день торгуютъ съѣстными припасами для проѣзжающихъ; сверхъ сего обыватели онаго какъ мущины, такъ и женщины упражняются въ вязаніи чулковъ и варегъ для продажи въ розницу и на подрядъ.",Грязовец,Gryazovets,Грязовец,Vologda,Russia,558236,RU,http://api.geonames.org/search?north=64.08&west=37.83&south=57.25&name=%D0%93%D1%80%D1%8F%D0%B7%D0%BE%D0%B2%D0%B5%D1%86&username=jaguillette&east=57.25&featureClass=P&type=json,geonames_jsons/Грязовец_179.json,geonames,Вологодскаго Намѣстничества,Вологодского Наместничества,вологодск,4.0,not_in_text,not_иn_text,нот_ин_теxт,,37,"Griazovets"""
536,1,181,Дагда,,60.0,27.53723,56.09512,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=36,"ДАГДА , мѣстечко Полотскаго Намѣстничества въ Динабургскомъ уѣздѣ. Въ семъ мѣстѣ бываютъ въ году триярмарки ; торгуютъ Рижскаго Дворца крестьяне разными мѣлсчными товарами , виномъ и пивомъ.",Дагда,Dagda,Дагда,Dagda,Latvia,460474,LV,http://api.geonames.org/search?north=59.483333&west=24.8&south=51.483333&name=%D0%94%D0%B0%D0%B3%D0%B4%D0%B0&username=jaguillette&east=32.8&featureClass=P&type=json,geonames_jsons/Дагда_181.json,geonames,Полотскаго Намѣстничества,Полотского Наместничества,полотск,24.0,Динабургскомъ уѣздѣ,Динабургском уезде,динабургск,60.0,37,Dagda
539,1,183,Далматовъ,,23.0,62.9362,56.26,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=37,"ДАЛМАТОВЪ, городъ Пермскаго Намѣстничества. Въ немъ какъ весною, Маія 9, такъ и зимою 6 числа Декабря , то есть въ день праздника Ни полая Чудотворца, бываетъ великая ярмарка , которая продолжается до 13 числа Декабря же , а иногда и болѣе; на оную пріѣзжаютъ купцы изъ близъ лежащихъ Сибирскихъ городовъ. Сія ярмарка особливо умножилась отъ упадка бывшей въ Катайскомъ острогѣ, не далеко оттуда лежащемъ , ярмарки , въ близости Башкиръ, которые на оную много рогатаго скота и лошадей на продажу пригоняютъ.",Далматов,Dalmatovo,Далматов,Kurgan,Russia,1507565,RU,http://api.geonames.org/search?north=61.8&west=50.56&south=55.22&name=%D0%94%D0%B0%D0%BB%D0%BC%D0%B0%D1%82%D0%BE%D0%B2%D0%BE&username=jaguillette&east=65.27&featureClass=P&type=json,geonames_jsons/Далматов_183.json,geonames,Пермскаго Намѣстничества,Пермского Наместничества,пермск,23.0,not_in_text,not_иn_text,нот_ин_теxт,,38,"Dalmatov"""
540,1,184,Двурѣчная,,69.0,37.68262,49.85019,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=37,"ДВУРѢЧНАЯ, слобода Харьковскаго Намѣстничества въ Изюмскомъ уѣздѣ. Въ оной бываетъ въ году пять ярмарокъ : первая Генваря 1 на день",Двуречная,Dvorichna,Двуречная,Kharkiv,Ukraine,709399,UA,http://api.geonames.org/search?north=51.5689&west=33.5563&south=48.4869&name=%D0%94%D0%B2%D1%83%D1%80%D0%B5%D1%87%D0%BD%D0%B0%D1%8F&username=jaguillette&east=38.2875&featureClass=P&type=json,geonames_jsons/Двуречная_184.json,geonames,Харьковскаго Намѣстничества,Харьковского Наместничества,харьковск,37.0,Изюмскомъ уѣздѣ,Изюмском уезде,изюмск,69.0,38,Dvurechnaia
541,1,185,Деймановка,,111.0,32.62939,50.214,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=37,"ДЕЙМАНОВКА , село Черниговскаго Намѣстничества въ Прилуцкомъ уѣздѣ. Бываетъ здѣсь въ году двѣ ярмарки, одна о десятой пятницѣ, а другая 2 Іюля, въ день Положенія честныя ризы Пресвятыя Богородицы , на коихъ торгуютъ окольные жители деревенскими произрастѣніями, какъ то хлѣбомъ , разнымъ скотомъ, съѣстными припасами, деревянною посудою и прочею крестьянскою мѣлочью.",Деймановка,Deymanovka,Деймановка,Poltava,Ukraine,710056,UA,http://api.geonames.org/search?north=55.5&west=27.3&south=47.5&name=%D0%94%D0%B5%D0%B9%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B0&username=jaguillette&east=35.3&featureClass=P&type=json,geonames_jsons/Деймановка_185.json,geonames,Черниговскаго Намѣстничества,Черниговского Наместничества,черниговск,38.0,Прилуцкомъ уѣздѣ,Прилуцком уезде,прилуцк,111.0,38,Deimanovka
551,1,189,Дерптъ,,27.0,26.72509,58.38062,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=38,"ДЕРПТЪ , городъ Рижскаго Намѣстничества. Въ ономъ бываютъ въ году четыре ярмарки : первая на другой день Богоявленія , на которую пріѣзжаютъ множество купцовъ изъ Риги и Ревеля съ шёлковыми и прочими товарами , и торгуютъ три недѣли ; при томъ съѣзжаются изъ уѣзда много и Дворянства; вторая продолжается только три дни, а начинается 29 Іюня, то есть въ день Св. Апостоловъ Петра и Павла; на оную привозятъ соленую и сушеную рыбу съ Чудскаго озера Россійскіе рыбаки ; также иногда и изъ ближнихъ Россійскихъ городовъ привозятъ купцы всякіе желѣзные товары и горшки глиняныя; третія бываетъ 8 Сентября ; на оную съѣзжаются крестьяне съ коровьимъ масломъ, сѣномъ к хлѣбомъ; четвертая бываетъ 19 Сентября; на оной торгуютъ скотиною , лошадьми и всякимъ хлѣбомъ.",Дерпт,Tartu,Дерпт,Tartu,Estonia,588335,EE,http://api.geonames.org/search?north=60.9475&west=20.106944&south=52.9475&name=%D0%94%D0%B5%D1%80%D0%BF%D1%82&username=jaguillette&east=28.106944&featureClass=P&type=json,geonames_jsons/Дерпт_189.json,geonames,Рижскаго Намѣстничества,Рижского Наместничества,рижск,27.0,not_in_text,not_иn_text,нот_ин_теxт,,39,"Derpt"""
553,1,191,Дмитровъ,,1.0,37.52041,56.34485,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=38,"ДМИТРОВЪ, городъ Московской Губерніи. Въ ономъ бываетъ въ году одна ярмарка, которая начинается съ 15 Сентября , и продолжается недѣлю ; съ товарами пріѣзжаютъ изъ разныхъ ближиихъ городовъ , а именно изъ Москвы ,кзъ Переславля Залѣснаго , изъ Ярославля; изъ Катина и изъ смѣжныхъ мѣстъ. Товары оные состоятъ въ щепетьѣ, шапкахъ, сапогахъ и прочей всякой мѣлочи; также торговыхъ дней въ недѣлѣ бываетъ два: понедѣльникъ и четвер токъ.",Дмитров,Dmitrov,Дмитров,Moskovskaya,Russia,565955,RU,http://api.geonames.org/search?north=56.981&west=34.3446&south=54.2132&name=%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2&username=jaguillette&east=40.3419&featureClass=P&type=json,geonames_jsons/Дмитров_191.json,geonames,Московской Губерніи,Московской Губернии,московск,1.0,not_in_text,not_иn_text,нот_ин_теxт,,39,"Dmitrov"""
564,1,194,Добрая,,5.0,37.7,52.73333,слобода,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=39,"ДОБРАЯ, слобода Воронежскаго Намѣстничества. Въ сей слободѣ въ году бываютъ три небольшія ярмарки: первая 9 Маія, вторая 26 Іюня, третія б Декабря, и продолжаются не болѣе какъ по одному, или по два Дни. Купцы на оныя привозятъ мѣлочные товары.",Добрая,Dobraya Polyana,Добрая,Orjol,Russia,565876,RU,http://api.geonames.org/search?north=52.7866&west=37.234&south=48.1597&name=%D0%94%D0%BE%D0%B1%D1%80%D0%B0%D1%8F&username=jaguillette&east=43.0242&featureClass=P&type=json,geonames_jsons/Добрая_194.json,geonames,Воронежскаго Намѣстничества,Воронежского Наместничества,воронежск,5.0,not_in_text,not_иn_text,нот_ин_теxт,,40,Dobraia
608,1,208,Душатинъ,,123.0,32.27371,53.06666,мѣстечко,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=41,"ДУШАТИНЪ , мѣстечко Новогородскаго - Сѣверскаго Намѣстничества въ Стародубовскомъ уѣздѣ. Въ ономъ бываетъ сверхъ еженедѣльныхъ торжковъ ярмарка, на которую пріѣзжаютъ жители города Мглина , и торгуютъ разными мѣлочными товарами.",Душатин,Dushatin,Душатин,Brjansk,Russia,564043,RU,http://api.geonames.org/search?north=55.983333&west=29.266666999999998&south=47.983333&name=%D0%94%D1%83%D1%88%D0%B0%D1%82%D0%B8%D0%BD&username=jaguillette&east=37.266667&featureClass=P&type=json,geonames_jsons/Душатин_208.json,geonames,Новогородскаго - Сѣверскаго Намѣстничества,Новогородского - Северского Наместничества,новогородского - северск,19.0,Стародубовскомъ уѣздѣ,Стародубовском уезде,стародубовск,123.0,42,"Dushatin"""
612,1,210,Дѣдиново,,81.0,39.127,55.05594,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=41,"ДѢДИНОВО, село Московской Губерніи въ уѣздѣ города Коломны. Въ немъ имѣется два ряда, изъ которыхъ въ одномъ торгуютъ сѣѣстными припасами, а въ другомъ въ бывающій еженедѣльно въ пятницу торгъ продается тамошнимъ обывателямъ привозимой изъ Коломны разной щепетильной товаръ, и изъ разныхъ деревень всякой хлѣбъ.",Дединово,Dedinovo,Дединово,Moskovskaya,Russia,566883,RU,http://api.geonames.org/search?north=56.981&west=34.3446&south=54.2132&name=%D0%94%D0%B5%D0%B4%D0%B8%D0%BD%D0%BE%D0%B2%D0%BE&username=jaguillette&east=40.3419&featureClass=P&type=json,geonames_jsons/Дединово_210.json,geonames,Московской Губерніи,Московской Губернии,московск,1.0,Коломны,Коломны,коломн,81.0,42,Dedinovo
615,1,213,Елатма,,32.0,41.75083,54.9675,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=41,"ЕЛАТМА, городъ Тамбовскаго Намѣстничества. Здѣсь бываютъ каждонедѣльно въ субботу торжки, на которые привозятъ съѣстные припасы и мѣлочные товары сторонніе люди и Елатомскіе обыватели.",Елатма,Yelat'ma,Елатма,Rjazan,Russia,468030,RU,http://api.geonames.org/search?north=56.716667&west=37.433333&south=48.716667&name=%D0%95%D0%BB%D0%B0%D1%82%D0%BC%D0%B0&username=jaguillette&east=45.433333&featureClass=P&type=json,geonames_jsons/Елатма_213.json,geonames,Тамбовскаго Намѣстничества,Тамбовского Наместничества,тамбовск,32.0,not_in_text,not_иn_text,нот_ин_теxт,,42,Elatma
616,1,214,Елецъ,,21.0,38.50169,52.62366,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=41,"ЕЛЕЦЪ, городъ Орловскаго Намѣстничества. Здѣсь бываютъ торжки въ Аргамачей слободѣ Сентября въ 8 день, а въ уѣздѣ его въ селѣ Подворгальскомъ Маія 21, при ТешевскомъЗадонскомъ Богородицкомъ монастырѣ Іюля 23 день, въ селѣ Петровскомъ Іюня 29, въ селѣ Тюртенѣ Іюля въ 8 день. На сихъ ярмаркахъ торгуютъ Елецкіе и другихъ городовъ купцы съ уѣздными обывателями всякими разными мѣлочными товары, а обыватели продаютъ купцамъ и своей братьи лошадей , скотину , холстъ и съѣстные всякіе припасы и рукодѣлье.",Елец,Yelets,Елец,Lipetsk,Russia,467978,RU,http://api.geonames.org/search?north=54.0138&west=32.7557&south=51.8511&name=%D0%95%D0%BB%D0%B5%D1%86&username=jaguillette&east=39.224&featureClass=P&type=json,geonames_jsons/Елец_214.json,geonames,Орловскаго Намѣстничества,Орловского Наместничества,орловск,21.0,not_in_text,not_иn_text,нот_ин_теxт,,42,"Elets"""
620,1,217,Елна,,31.0,33.18373,54.57864,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=42,"ЕЛНА, городъ Смоленскаго Намѣстничества. Здѣсь бываетъ въ году двѣ ярмарки : первая на первой недѣлѣ великаго поста въ пятницу , вторая Іюля 20, въ день Пророка Иліи ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными товарами.",Елна,Yel'nya,Елна,Smolensk,Russia,467753,RU,http://api.geonames.org/search?north=58.782778&west=28.045278000000003&south=50.782778&name=%D0%95%D0%BB%D0%BD%D0%B0&username=jaguillette&east=36.045278&featureClass=P&type=json,geonames_jsons/Елна_217.json,geonames,Смоленскаго Намѣстничества,Смоленского Наместничества,смоленск,31.0,not_in_text,not_иn_text,нот_ин_теxт,,43,Elna
621,1,218,Енисейскъ,,34.0,92.17968,58.44937,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=42,"ЕНИСЕЙСКЪ, городъ Тобольскаго Намѣстничества. Въ ономъ бываетъ однажды въ годъ ярмарка въ началѣ Августа мѣсяца. Встрѣчаются здѣсь купцы на водяномъ пути изъ Тобольска и изъ Иркутска, изъ которыхъ иные промѣнявъ товары , тѣмъ же путемъ назадъ возвращаются, а иные намѣренной свой водяной путь далѣе производятъ.",Енисейск,Yeniseysk,Енисейск,Krasnoyarskiy,Russia,1485997,RU,http://api.geonames.org/search?north=77.44&west=50.85&south=53.98&name=%D0%95%D0%BD%D0%B8%D1%81%D0%B5%D0%B9%D1%81%D0%BA&username=jaguillette&east=114.0&featureClass=P&type=json,geonames_jsons/Енисейск_218.json,geonames,Тобольскаго Намѣстничества,Тобольского Наместничества,тобольск,34.0,not_in_text,not_иn_text,нот_ин_теxт,,43,"Eniseisk"""
622,1,219,Епифань,,35.0,38.55181,53.82526,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=42,"ЕПИФАНЬ, городъ Тульскаго Намѣстничества. Въ ономъ бываетъ ярмарка Маія 9, то есть въ день Чудотворца Николая. Купцы пріѣзжаютъ изъ окрестныхъ городовъ съ разными не въ знатномъ числѣ товарами.",Епифань,Yepifan',Епифань,Tula,Russia,467464,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%95%D0%BF%D0%B8%D1%84%D0%B0%D0%BD%D1%8C&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Епифань_219.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,not_in_text,not_иn_text,нот_ин_теxт,,43,Epifan'
627,1,224,Ефремовъ,,35.0,38.09924,53.14806,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=43,"ЕФРЕМОВЪ, городъ Тульскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки : первая въ Іюнѣ, называемая десятая пятница, вторая Августа 6, въ день Преображенія Господня, третія Сентября 15, въ день Великомученика Никиты , четвертая Октября 1, въ день Покрова Богородицы. Купцы съѣзжаются изъ окрестныхъ городовъ съ разными товарами, но по большей части съ мѣлочными.",Ефремов,Yefremov,Ефремов,Tula,Russia,468390,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%95%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Ефремов_224.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,not_in_text,not_иn_text,нот_ин_теxт,,44,"Efremov"""
628,1,225,Жиганскъ,,9.0,123.37418,66.76601,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=43,"ЖИГАНСКЪ, городъ Иркутскаго Намѣстничества. Въ ономъ бываютъ ярмарки въ Августѣ , Сентябрѣ, Октябрѣ и Ноябрѣ мѣсяцахъ.",Жиганск,Zhigansk,Жиганск,Sakha,Russia,2012530,RU,http://api.geonames.org/search?north=90&west=91.4&south=46.5&name=%D0%96%D0%B8%D0%B3%D0%B0%D0%BD%D1%81%D0%BA&username=jaguillette&east=180&featureClass=P&type=json,geonames_jsons/Жиганск_225.json,geonames,Иркутскаго Намѣстничества,Иркутского Наместничества,иркутск,9.0,not_in_text,not_иn_text,нот_ин_теxт,,44,"Zhigansk"""
629,1,226,Жиздра,,12.0,34.73951,53.74596,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=43,"ЖИЗДРА, городъ Калужскаго Намѣстничества. Въ немъ бываетъ 25 Сентября годовая ярмарка, на которую пріѣзжаютъ изъ окольныхъ городовъ купцы съ шелковыми, бумажными и москотильными товарами.",Жиздра,Zhizdra,Жиздра,Kaluga,Russia,462914,RU,http://api.geonames.org/search?north=55.374&west=33.3881&south=53.2604&name=%D0%96%D0%B8%D0%B7%D0%B4%D1%80%D0%B0&username=jaguillette&east=37.3796&featureClass=P&type=json,geonames_jsons/Жиздра_226.json,geonames,Калужскаго Намѣстничества,Калужского Наместничества,калужск,12.0,not_in_text,not_иn_text,нот_ин_теxт,,44,Zhizdra
633,1,229,Задушное,,100.0,36.98756,52.98556,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАДУШНОЕ , село Тульскаго Намѣстничества въ уѣздѣ города Новосиля. Въ ономъ селѣ бываетъ ярмарка въ день Сошествія Святаго Духа; купцы торгуютъ разными мѣлочными товарами.",Задушное,Zadushnoye,Задушное,Orjol,Russia,465695,RU,http://api.geonames.org/search?north=55.0867&west=35.5421&south=52.8329&name=%D0%97%D0%B0%D0%B4%D1%83%D1%88%D0%BD%D0%BE%D0%B5&username=jaguillette&east=39.6827&featureClass=P&type=json,geonames_jsons/Задушное_229.json,geonames,Тульскаго Намѣстничества,Тульского Наместничества,тульск,35.0,Новосиля,Новосиля,новосил,100.0,45,Zadushnoe
634,1,230,Замошье,,4.0,39.5481,60.0693,село,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАМОШЬЕ, село Вологодскаго Намѣстничества. Здѣсь всенедѣльно по Воскреснымъ днямъ бываютъ торжки.",Замошье,Zamosh'ye,Замошье,Vologda,Russia,465060,RU,http://api.geonames.org/search?north=64.08&west=37.83&south=57.25&name=%D0%97%D0%B0%D0%BC%D0%BE%D1%88%D1%8C%D0%B5&username=jaguillette&east=57.25&featureClass=P&type=json,geonames_jsons/Замошье_230.json,geonames,Вологодскаго Намѣстничества,Вологодского Наместничества,вологодск,4.0,not_in_text,not_иn_text,нот_ин_теxт,,45,Zamosh'e
635,1,231,Зарайскъ,,28.0,38.87841,54.7605,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАРАЙСКЪ , городъ Рязанскаго Намѣстничества. Въ семъ городѣ бываетъ годовыхъ ярмарокъ три: Маія 9 , во время праздника Пятидесятницы, да Іюля 28 чиселъ. Нѣкоторые уѣздные обыватели пріѣзжаютъ съ разнымъ хлѣбомъ и деревенскими рукодѣліями, съ продажными лошадьми и рогатою скотиною ; а изъ Тулы, Венева и Каширы пріѣзжаютъ купцы съ косами, Коломенскіе же съ хомутами , брусьями, пенечными бечевами и прочимъ.",Зарайск,Zaraysk,Зарайск,Moskovskaya,Russia,464687,RU,http://api.geonames.org/search?north=55.9254&west=38.154&south=53.0517&name=%D0%97%D0%B0%D1%80%D0%B0%D0%B9%D1%81%D0%BA&username=jaguillette&east=41.6952&featureClass=P&type=json,geonames_jsons/Зарайск_231.json,geonames,Рязанскаго Намѣстничества,Рязанского Наместничества,рязанск,28.0,not_in_text,not_иn_text,нот_ин_теxт,,45,"Zaraisk"""
638,1,233,Зашиверскъ,,9.0,142.61667,67.45,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАШИВЕРСКЪ, городъ того же Намѣстничества. Здѣсь бываютъ ярмарки въ Декабрѣ и Генварѣ мѣсяцахъ.",Зашиверск,Zashiversk,Зашиверск,Sakha,Russia,2119377,RU,http://api.geonames.org/search?north=90&west=91.4&south=46.5&name=%D0%97%D0%B0%D1%88%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%BA&username=jaguillette&east=180&featureClass=P&type=json,geonames_jsons/Зашиверск_233.json,geonames,Иркутскаго Намѣстничества,Иркутского Наместничества,иркутск,9.0,not_in_text,not_иn_text,нот_ин_теxт,,45,"Zashiversk"""
