uniq_id,ru_old_orth,alt_name,partof_id,x_coord,y_coord,ru_featuretype,SOURCE,description,ru_new_orth,lc_trans,pres_loc,pres_country,country_code,beg_yr,end_yr,lc_featuretype,id_featuretype,en_featuretype,xy_type,partof_prov,partof_uezd,partof_prov_name,partof_uezd_name,geonameId,uezd_adj
74,Керенскъ,,22,43.05744,53.69157,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=52,"КЕРЕНСКЪ, городъ Пензенскаго Намѣстничества. Въ ономъ бываютъ двѣ ярмарки въ году: первая въ Іюнѣ, а другая въ Іюлѣ мѣсяцахъ, и продолжаются , первая день , а другая два, сверхъ каждонедѣльныхъ торговъ. Купцы на оныя пріѣ-зжаютъ Кадомонскіе , Касимовскіе и Арсамазскіе съ разными мѣлочными товарами.",Керенский,Kerenskii,"Vadinsk, Penza Oblast",Russia,RU,,,,,,POINT,22,74.0,Пензенское Намѣстничество,Керенский уезд,http://www.geonames.org/477418,
75,Кинешма,,14,42.12894,57.43914,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=53,"КИНЕШМА, городъ того же Намѣстничества. Здѣсь бываетъ годовая ярмарка на Воздвиженіе честнаго Креста Сентября съ 14 по 25 число; на оную ярмарку пріѣзжаютъ купцы изъ Москвы, Ярославля, Костромы , Нижняго Новагорода, и привозятъ на продажу сукна, разныя шелковыя матеріи, серебреную и оловянную посуду и всякіе мѣлочные товары, также рыбу и овощъ.",Кинешемский,Kineshemskii,"Kineshma, Ivanovo Oblast",Russia,RU,,,,,,POINT,14,75.0,Костромское Намѣстничество,Кинешемский уезд,http://www.geonames.org/548605,
76,Киренскъ,,9,108.11193999999999,57.78528000000001,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=53,"КИРЕНСКЪ, городъ Иркутскаго Намѣстничества. Здѣсь бывала ежегодно лѣтнимъ временемъ ярмарка, на которую множество купцовъ для торгу съѣзжалось, но за упадкомъ здѣшнихъ жителей оставлена.",Киренский,Kirenskii,"Kirensky District, Irkutsk Oblast",Russia,RU,,,,,,POINT,9,76.0,Иркутское Намѣстничество,Киренский уезд,http://www.geonames.org/2022083,
78,Климовицкий,,16,31.9586,53.6079,уезд,,,Климовицкий,Klimovitskii,"Klimavichy, Mogilev Province",Belarus,BY,,,,,,POINT,16,78.0,Могилевское Намѣстничество,Климовицкий уезд,http://www.geonames.org/627202,
79,Козельскъ,,12,35.77159,54.037459999999996,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=56,"КОЗЕЛЬСКЪ, городъ Калужскаго Намѣстничества. Въоиомъ бываетъ ярмарка въ десятую пятницу по Пасхѣ. Сюда пріѣзжаютъ иногородные купцы съ разными товарами, шелковыми и бумажными, также крестьяне продаютъ свои продукты , пеньну, смольчугъ и поташъ , масло , парусную пряжу; а прочіе торги бываютъ еженедѣльно въ понедѣльникъ.",Козельский,Kozel'skii,"Kozelsk, Kaluga Oblast",Russia,RU,,,,,,POINT,12,79.0,Калужское Намѣстничество,Козельский уезд,http://www.geonames.org/543348,
80,Козловский,,32,40.4907,52.8978,уезд,,,Козловский,Kozlovskii,"Michurinsk, Tambov Oblast",Russia,RU,,,,,,POINT,32,80.0,Тамбовское Намѣстничество,Козловский уезд,http://www.geonames.org/527191,
81,Коломна,,1,38.77833,55.079440000000005,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=56,"КОЛОМНА, городъ Московской Губерніи. Въ немъ еженедѣльно по понедѣльникамъ и четвергамъ для торгу собирается изъ здѣшняго и другихъ уѣздовъ крестьянство съ хлѣбомъ, щепетильнымъ товаромъ, глиняною и деревянною посудою и разными издѣльями.",Коломенский,Kolomenskii,"Kolomna, Moscow Oblast",Russia,RU,,,,,,POINT,1,81.0,Московская Губернія,Коломенский уезд,http://www.geonames.org/546230,
82,Кароча,Короча,15,37.18598,50.8132,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=51,"КАРОЧА , или КОРОЧА , городъ Курскаго Намѣстничества. Въ ономъ, кромѣ еженедѣльныхъ двухъ торговъ , бываетъ шесть годовыхъ ярмарокъ: первая въ день Рождества Богородицы , вторая въ зимній Николинъ день, третія въ Новой годъ, четвертая весною въ Николинъ же день , пятая Іюля 8 числа, шестая въ Успеньевъ день. На оныхъ торгуютъ купцы мѣлкими красными раз-ными товарами, а обыватели хлѣбомъ , щетиною и посконнымъ холстомъ.",Кароча,Karocha,"Korocha, Belgorod Oblast",Russia,RU,,,,,,POINT,15,82.0,Курское Намѣстничество,Короченский уезд,http://www.geonames.org/544707,
84,Краснослободскъ,,22,43.789629999999995,54.4253,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=61,"КРАСНОСЛОБОДСКЪ , городъ Пензенскаго Намѣстничества. Въ ономъ бываетъ одна въ году ярмарка на осьмой недѣлѣ по Пасхѣ въ пятокъ. Купцы пріѣзжаютъ изъ ближнихъ городовъ съ шелковыми, бумажными , москотильными и прочими разными въ небольшемъ числѣ товарами ; большеюжь частію пріѣзжаютъ крестьяне съ своими припасами.",Краснослободский,Krasnoslobodskii,"Krasnoslobodsk, Mordovia",Russia,RU,,,,,,POINT,22,84.0,Пензенское Намѣстничество,Краснослободский уезд,http://www.geonames.org/542212,
86,Лебедянский,,32,39.16639,53.01942,уезд,,,Лебедянский,Lebedianskii,"Lebedyan, Lipetsk Oblast",Russia,RU,,,,,,POINT,32,86.0,Тамбовское Намѣстничество,Лебедянский уезд,http://www.geonames.org/536518,
87,Ливны,,21,37.60689,52.425340000000006,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=66,"ЛИВНЫ, городъ Орловскаго Намѣстничества. Здѣсь бываетъ въ годъ одна ярмарка послѣ Пасхи на десятой недѣлѣ въ пятницу; пріѣзжаютъ на оную купцы изъ окрестныхъ городовъ съ шелковыми и про чими мѣлочными товарами; также собираются и крестьяне съ своими издѣльями.",Ливенский,Livenskii,"Livny, Oryol Oblast",Russia,RU,,,,,,POINT,21,87.0,Орловское Намѣстничество,Ливенский уезд,http://www.geonames.org/534701,
88,Лубенский,,13,32.99694,50.01625,уезд,,,Лубенский,Lubenskii,"Lubny, Poltavs'ka oblast",Ukraine,UA,,,,,,POINT,13,88.0,Кіевское Намѣстничество,Лубенский уезд,http://www.geonames.org/702723,
89,Любимъ,,39,40.684329999999996,58.3625,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=68,"ЛЮБИМЪ , городъ Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ двѣ ярмарки: первая въ Тройцынъ день, вторая Декабря 6; продолжав щіяся только по одному дню. На оныя съѣзжаются изъ ближнихъ городовъ купцы съ шел-ювыми и прочими суровскими поварами ; а изъ окрестныхъ селеній крестьяне съ холстами а прочими издѣльями.",Любимский,Liubimskii,"Lyubim, Yaroslavl Oblast",Russia,RU,,,,,,POINT,39,89.0,Ярославское Намѣстничество,Любимский уезд,http://www.geonames.org/532600,
90,Мезенский,,2,44.2542,65.8401,уезд,,,Мезенский,Mezenskii,"Mezen, Arkhangelsk Oblast",Russia,RU,,,,,,POINT,2,90.0,Архангельское Намѣстничество,Мезенский уезд,http://www.geonames.org/527321,
91,Миргородъ,,13,33.60886,49.968540000000004,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИРГОРОДЪ , городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарми: первая на срединѣ великаго поста , другая въ день праздника Вознесенія Христова , третія Сентября 8 , четвертая Декабря 6 чиселъ; торгуютъ ва оныхъ пріѣзжіе изъ уѣзду жители разными мѣдкими товарами , тамъ родящимися и дѣлающимися, какъ - то хлѣбомъ , горячимъ виномъ, разнымъ скотомъ, овчинами , кожами ; иногда пріѣзжаютъ и Великороссійскіе купцы съ краснымъ товаромъ и прочимъ.",Миргородский,Mirgorodskii,"Myrhorod, Poltavs'ka oblast",Ukraine,UA,,,,,,POINT,13,91.0,Кіевское Намѣстничество,Миргородский уезд,http://www.geonames.org/701075,
92,Мирополье,,37,35.26233,51.023,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=73,"МИРОПОЛЬЕ, городъ Харьковскаго Намѣстничества. Въ семъ городѣ бываютъ въ году три ярмарки : первая на пятой недѣлѣ великаго поста, вторая на седьмой недѣлѣ по Пасхѣ, третія Сентября 1 дня. На оныя пріѣзжаютъ купцы изъ ближнихъ Великороссійскихъ городовъ , и привозятъ всякіе внутренніе мѣлкіе товары, торгуютъ также скотомъ и лошадьми.",Миропольский,Miropol'skii,"Myropillya, Sums'ka oblast",Ukraine,UA,,,,,,POINT,37,92.0,Харьковское Намѣстничество,Миропольский уезд,http://www.geonames.org/701020,
93,Можайскъ,,1,36.02722,55.501940000000005,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=74,"МОЖАЙСКЪ, городъ Московской Губерніи. Въ ономъ , кромѣ еженедѣльнаго по понедѣльникамъ торговаго дня, ярмарка бываетъ въ имѣющихся въ семъ городѣ рядахъ Іюня 29 дня; на оную пріѣзжаютъ изъ ближнихъ къ нему городовъ , изъ Тулы , Калуги , Боровска и Вереи съ разными шелковыми и прочими мѣлочными товарами.",Можайский,Mozhaiskii,"Mozhaysk, Moscow Oblast",Russia,RU,,,,,,POINT,1,93.0,Московская Губернія,Можайский уезд,http://www.geonames.org/524712,
94,Мстиславль,,16,31.7217,54.0185,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=76,"МСТИСЛАВЛЬ, городъ Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки , на которыя пріѣзжаютъ для торгу Жиды, и продаютъ разные товары, какъ-то хлѣбъ, скотъ и для крестьянскихъ работъ разныя вещи.",Мстиславский,Mstislavskii,"Mstsislaw, Mogilev Province",Belarus,BY,,,,,,POINT,16,94.0,Могилевское Намѣстничество,Мстиславский уезд,http://www.geonames.org/624889,
95,Наровчатъ,,22,43.69458,53.876540000000006,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=78,"НАРОВЧАТЪ , городъ Пензенскаго Намѣстничества. Въ семъ городѣ бываетъ въ годъ три ярмарки : первая Іюня 29, вторая Іюля 20, третія Августа 6 дня, сверхъ Обыкновенныхъ каждонедѣльныхъ торговъ.",Наровчатовский,Narovchatovskii,"Narovchat, Penza Oblast",Russia,RU,,,,,,POINT,22,95.0,Пензенское Намѣстничество,Наровчатовский уезд,http://www.geonames.org/523415,
96,Нижеломовский,,22,43.676629999999996,53.530409999999996,уезд,,,Нижеломовский,Nizhelomovskii,"Nizhny Lomov, Penza Oblast",Russia,RU,,,,,,POINT,22,96.0,Пензенское Намѣстничество,Нижеломовский уезд,http://www.geonames.org/520574,
100,Новосиль,,35,37.04048,52.97387,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=79,"НОВОСИЛЬ , городъ Тульскаго Намѣстничества. Здѣсь бываетъ въ году одна ярмарка въ денъ Преполовенія ; пріѣзжаютъ изъ сосѣдственныхъ городовъ купцы съ разными мѣ-лочными москотильными и красными товарами.",Новосильский,Novosil'skii,"Novosil, Oryol Oblast",Russia,RU,,,,,,POINT,35,100.0,Тульское Намѣстничество,Новосильский уезд,http://www.geonames.org/517947,
101,Нѣжинъ,,38,31.886879999999998,51.04801,городѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=80,"НѢЖИНЪ , городѣ Черниговскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки: первая Всеѣдинская въ Февралѣ , вторая Троицкая въ Іюнѣ , третія Покровская съ 1 Октября ; торгуютъ Великороссійскіе и Малороссійскіе купцы и Греки шелковыми, бумажными , шерстяными товарами, ладономъ, чаемъ, Волошскими винами , Крымскою солью , икрою, пушнымъ Россійскимъ товаромъ , медомъ , воскомъ , щетиною , горячимъ виномъ , табакомъ и прочимъ,",Нежин,Nezhin,"Nizhyn, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,38,101.0,Черниговское Намѣстничество,Нѣжинский уезд,http://www.geonames.org/699942,
103,Оршанский,,16,30.4172,54.5081,уезд,,,Оршанский,Orshanskii,"Orsha, Vitebsk Region",Belarus,BY,,,,,,POINT,16,103.0,Могилевское Намѣстничество,Оршанский уезд,http://www.geonames.org/624079,
104,Островъ,,25,28.353679999999997,57.34395,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=84,"ОСТРОВЪ, городъ Псковскаго Намѣстничества. Въ ономъ бываетъ въ году три ярмарки : первая въ Маіѣ, вторая въ Іюлѣ, третія Сентября 14; купцы пріѣзжаютъ изъ Пскова съ бумажными , шелковыми и прочими въ небольшемъ числѣ товарами.",Остров,Ostrov,"Ostrov, Pskov Oblast",Russia,RU,,,,,,POINT,25,104.0,Псковское Намѣстничество,Островский уезд,http://www.geonames.org/514171,
105,Переяславль,,13,31.4795,50.08768,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=86,"ПЕРЕЯСЛАВЛЬ, городъ Кіевскаго Намѣстничества. Въ ономъ бываютъ въ году ярмарки : первая Генваря 6, въ день Богоявленія , вторая въ десятую пятницу по Пасхѣ, третія Сентября 1, Симеоновская; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ красными, храмными, суконными и прочими товарами ; а жители тѣхъ мѣстъ продаютъ рогатой скотъ, лошадей , хлѣбъ , смолу , горячее вино и прочее.",Переяславль,Pereiaslavl,"Pereyaslav-Khmel'nyts'kyi, Kyivs'ka oblast",Ukraine,UA,,,,,,POINT,13,105.0,Кіевское Намѣстничество,Переяславский уезд,http://www.geonames.org/697637,
106,Петровскъ,,39,39.26928,57.01039,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=86,"ПЕТРОВСКЪ, городъ Ярославскаго Намѣстничества. Въ немъ бываетъ въ годъ днѣ ярмарки : первая 29 Іюля , а вторая 14 Сентября, на которыя съѣзжается изъ близъ лежащихъ уѣздовъ крестьянство съ разными издѣльями и съѣстны-ми припасами.",Петровск,Petrovsk,"Petrovskoye, Yaroslavl Oblast",Russia,RU,,,,,,POINT,39,106.0,Ярославское Намѣстничество,Петровский уезд,http://www.geonames.org/509850,
107,Пирятинъ,,38,32.506209999999996,50.24242,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=87,"ПИРЯТИНЪ, городъ Кіевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки : первая въ день середопостія , вторая въ день Вознесенія , третія въ день Рождества Богородицы, четвертая въ день Параскевы. Купцы пріѣзжаютъ на оныя изъ Великорос-сійскихъ городовъ съ краснымъ товаромъ, съ кожами, желѣзомъ и прочимъ.",Пирятинский,Piriatinskii,"Pyryatyn, Poltavs'ka oblast",Ukraine,UA,,,,,,POINT,38,107.0,Черниговское Намѣстничество,Пирятинский уезд,http://www.geonames.org/697183,
108,Полотавский,,8,34.540729999999996,49.59373,уезд,,,Полотавский,Polotavskii,"Poltava, Poltavs'ka oblast",Ukraine,UA,,,,,,POINT,8,108.0,Екатеринославское Намѣстничество,Полотавский уезд,http://www.geonames.org/696643,
110,Пошехонь,,39,39.13531,58.499280000000006,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=91,"ПОШЕХОНЬ, городъ Ярославскаго Намѣстничества. Здѣсь , кромѣ еженедѣльнаго торгу по вторникамъ , ярмарка бываетъ 1 на праздникъ Святыя Троицы , 2 въ Сентябрѣ на праздникъ Іоанна Богослова, на которыя пріѣзжаютъ купцы изъ прикосновенныхъ горед въ , Ярославля , Романова , Углича и Вологды съ разными товарами , и торгуютъ по недѣлѣ.",Пошехонский,Poshekhonskii,"Poshekhonye, Yaroslavl Oblast",Russia,RU,,,,,,POINT,39,110.0,Ярославское Намѣстничество,Пошехонский уезд,http://www.geonames.org/506029,
111,Прилуцкий,,38,32.387609999999995,50.59323,уезд,,,Прилуцкий,Prilutskii,"Pryluky, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,38,111.0,Черниговское Намѣстничество,Прилуцкий уезд,http://www.geonames.org/696108,
113,Рогачевъ,,16,30.0495,53.0934,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=95,"РОГАЧЕВЪ, городъ Могилевскаго Намѣстничества. Въ ономъ бываетъ въ году четыре ярмарки.",Рогачевский,Rogachevskii,"Rahačoŭ, Homiel Province",Belarus,BY,,,,,,POINT,16,113.0,Могилевское Намѣстничество,Рогачевский уезд,http://www.geonames.org/622739,
114,Ростовъ,,39,39.413940000000004,57.1914,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=96,"РОСТОВЪ , городъ Ярославскаго Намѣстничества. Бываетъ здѣсь годовая сборная ярмарка на второй недѣлѣ великаго поста; пріѣзжаютъ сюда иногородные купцы съ разными Россійскими и Нѣмецкими товарами, мягкою рухлядью и прочимъ изъ Ярославля, изъ Переяславля Залѣскаго, Москвы и изъ Вологды съ разными суровски ми шелковыми товарами, а изъ Ярославля и съ серебреными да изъ города Кинешмы съ объ розами, изъ слободъ Макарья и Пуреха съ деревянною посудою , изъ Муромскаго и Касимовскаго уѣздовъ съ ободами, изъ Пошехонскаго и устюжскаго уѣздовъ съ дѣльнымъ желѣзомъ , то есть съ котлами, сковородами, гвоздями, замками, укладомъ и съ другими желѣзными товарами, а торгуютъ внутри города въ рядахъ въ лавкахъ, а иные и въ шалашахъ.",Ростовский,Rostovskii,"Rostov, Yaroslavl Oblast",Russia,RU,,,,,,POINT,39,114.0,Ярославское Намѣстничество,Ростовский уезд,http://www.geonames.org/501183,
115,Руза,,1,36.19522,55.698980000000006,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=97,"РУЗА , городъ Московской Губерніи. Въ ономъ въ году бываютъ двѣ ярмарки : первая Іюня 29, вторая на Сырной недѣлѣ въ четвертокъ, и продолжаются по одному дню ; торгуютъ разными мѣлочными товарами.",Руза,Ruza,"Ruza, Moscow Oblast",Russia,RU,,,,,,POINT,1,115.0,Московская Губернія,Рузский уезд,http://www.geonames.org/500303,
117,Саранский,,22,45.1749,54.1838,уезд,,,Саранский,Saranskii,"Saransk, Mordovia",Russia,RU,,,,,,POINT,22,117.0,Пензенское Намѣстничество,Саранский уезд,http://www.geonames.org/498698,
119,Свіажскъ,,11,48.660509999999995,55.77329,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=103,"СВІАЖСКЪ, съ 1781 году городъ Казанскаго Намѣстничества. Здѣсь бываетъ ярмарка, и торгуютъ на оной мѣлочными товарами и съѣстными припасами.",Свиажск,Sviazhsk,"Sviyazhsk, Tatarstan",Russia,RU,,,,,,POINT,11,119.0,Казанское Намѣстничество,Свіажский уезд,http://www.geonames.org/485516,
120,Синбирский,,30,48.38657,54.32824,уезд,,,Синбирский,Sinbirskii,"Ulyanovsk, Ulyanovsk Oblast",Russia,RU,,,,,,POINT,30,120.0,Синбирское Намѣстничество,Синбирский уезд,http://www.geonames.org/479123,
121,Сосницкий,,19,32.49985,51.52387,уезд,,,Сосницкий,Sosnitskii,"Sosnytsya, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,19,121.0,Новогород - Сѣверское Намѣстничество,Сосницкий уезд,http://www.geonames.org/693100,
122,Старой Быховъ,,16,30.2454,53.521,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=109,"СТАРОЙ БЫХОВЪ, съ 1778 году городъ Могилевскаго Намѣстничества. Здѣсь бываютъ въ году двѣ знатныя ярмарки, на которыя пріѣзжаютъ купцы и изъ Малороссіи.",Старой Быхов,Staroi Bykhov,"Bykhaw, Mogilev Province",Belarus,BY,,,,,,POINT,16,122.0,Могилевское Намѣстничество,Старобыховский уезд,http://www.geonames.org/629447,
123,Стародубовский,,19,33.67942,52.2405,уезд,,,Стародубовский,Starodubovskii,"Seredyno-Buds'kyi district, Sums'ka oblast",Ukraine,UA,,,,,,POINT,19,123.0,Новогород - Сѣверское Намѣстничество,Стародубовский уезд,http://www.geonames.org/815796,
124,Суздаль,,3,40.44668,56.422740000000005,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=110,"СУЗДАЛЬ, съ 1778 году городъ Володимерскаго Намѣстничества. Въ ономъ бываютъ недѣльные торги и большіесъѣзды въ субботу, въ Воскресенье и въ четвертокъ; пріѣзжаютъ въ тѣ дни изъ окрестныхъ къ Суздалю селъ и деревень съ хлѣбомъ, сѣномъ, соломою, лыками, саньми, дугами , рогожами, мясами, лѣсомъ и всякимъ мѣлкимъ щепетьемъ. Въ уѣздѣ онаго ярмарки незнатныя бываютъ въ селахъ: і) въ Парскомъ Августа 29 , 2) Ковровѣ на 25 Декабря, 3) Гавриловской слободѣ Іюля на 4, 4) Ивановѣ Сентября на 14, 5) Даниловѣ на 1 Октября, 6) Богоявленской слободѣ Генваря 6, 7) въ Лежневѣ на семикъ; съѣзжаются купцы изъ Москвы, Ярославля, Суздаля, Шуи и другихъ ближнихъ мѣстъ, и торгуютъ шелковыми товарами , сукнами и прочимъ щепетиннымъ, по большей части крестьянству подлежащимъ товаромъ. Въ оныхъ селахъ находятся ряды для сихъ ярмарокъ и бывающихъ въ оныхъ торговыхъ дней.",Суздальский,Suzdal'skii,"Suzdal, Vladimir Oblast",Russia,RU,,,,,,POINT,3,124.0,Владимерское Намѣстничество,Суздальский уезд,http://www.geonames.org/485824,
126,Темниковъ,,32,43.21483,54.630230000000005,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=113,"ТЕМНИКОВЪ , съ 1779 году городъ Тамбовскаго Намѣстничества. Въ семъ городѣ бываетъ одна годовая ярмарка послѣ праздника Святыя Пасхи въ десятую пятницу одинъ день.",Темниковский,Temnikovskii,"Temnikov, Mordovia",Russia,RU,,,,,,POINT,32,126.0,Тамбовское Намѣстничество,Темниковский уезд,http://www.geonames.org/483684,
129,Челябинскъ,,36,61.42915,55.154019999999996,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=124,"ЧЕЛЯБИНСКЪ, съ 1782 году городъ Уфимскаго Намѣстничества , лежащій на рѣкѣ Міясѣ, отъ Далматовскаго монастыря во стѣ пятидесяти четырехъ верстахъ, въ самой срединѣ Башкирцевъ, можетъ со временемъ вразсужденіи торговъ сдѣлаться знатнымъ мѣстомъ; ибо намѣреніе принято было нетокмо для большей способности ради Башкирцевъ тамъ завести ярмарку, но еще и купечество изъ Великой Бу-харіи, какъ въ Оренбургъ, такъ отчасти и туда перевести. Здѣсь бываютъ въ году двѣ ярмарки: первая Маія 9, вторая Декабря б дня.",Челябинск,Cheliabinsk,"Chelyabinsk, Chelyabinsk Oblast",Russia,RU,,,,,,POINT,36,129.0,Уфимское Намѣстничество,Челябинский уезд,http://www.geonames.org/1508291,
130,Чериковъ,,16,31.3831,53.5689,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=125,"ЧЕРИКОВЪ, съ 1779 году городъ Могилевскаго Намѣстничества. Здѣсь бываетъ въ году двѣ ярмарки , на которыхъ продаютъ рогатой скотъ, лошадей , соль и прочая.",Чериковский,Cherikovskii,"Čerykaŭ, Mogilev Province",Belarus,BY,,,,,,POINT,16,130.0,Могилевское Намѣстничество,Чериковский уезд,http://www.geonames.org/629347,
131,Черниговский,,38,31.284879999999998,51.50551,уезд,,,Черниговский,Chernigovskii,"Chernihiv, Chernihivs'ka oblast",Ukraine,UA,,,,,,POINT,38,131.0,Черниговское Намѣстничество,Черниговский уезд,http://www.geonames.org/710735,
132,Чухлома,,14,42.68318,58.75375,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=127,"ЧУХЛОМА , съ 1778 году городъ Костромскаго Намѣстничества. Подлѣ онаго въ десяти верстахъ разстояніемъ у приходской церкви Великомученицы Варвары 4 Декабря бываетъ многолюдная ярмарка, на коей, исключая другихъ товаровъ, съѣзжающіеся купцы скупаютъ разную мягкую рухлядь, сырыя кожи и овчины. А въ десяти верстахъ разстояніемъ отъ города же, при монастырѣ Чудотворца Аврамія, бываютъ въ году три ярмарки: первая по Вознесеніи въ первое Воскресеніе, вторая по Пасхѣ въ девятую пятницу, третія Октября въ 1 день. Купцы пріѣзжаютъ на сіи ярмарки изъ разныхъ Россійскихъ городовъ съ шелковыми , щепетинными , серебряными и прочими товарами.",Чухломский,Chukhlomskii,"Chukhloma, Kostroma Oblast",Russia,RU,,,,,,POINT,14,132.0,Костромское Намѣстничество,Чухломский уезд,http://www.geonames.org/567695,
133,Шатский,,32,41.711909999999996,54.02576,уезд,,,Шатский,Shatskii,"Shatsk, Ryazan Oblast",Russia,RU,,,,,,POINT,32,133.0,Тамбовское Намѣстничество,Шатский уезд,http://www.geonames.org/495532,
134,Юрьевецъ Поволгскій,,14,43.1041,57.320069999999994,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=130,"ЮРЬЕВЕЦЪ ПОВОЛГСКІЙ, съ того же году городъ Костромскаго Намѣстничества. Сю да пріѣзжаютъ крестьяне въ понедѣльникъ и четвертокъ товары привозятъ хлѣбъ и съѣстные припасы, и съ разнымъ лѣсомъ, сѣномъ и горшками.",Юрьевец Поволгский,Iur'evets Povolgskii,"Yuryevets, Ivanovo Oblast",Russia,RU,,,,,,POINT,14,134.0,Костромское Намѣстничество,Юрьевцкий уезд,http://www.geonames.org/466258,
135,Яренскъ,,4,49.09162,62.16755,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=131,"ЯРЕНСКЪ, съ 1780 году городъ Вологодскаго Намѣстничества. Въ ономъ бываетъ въ году одинъ небольшой торгъ Генваря отъ 18 по 23 день раз-ными мѣлочными товарами, на которой пріѣзжаютъ купцы изъ Устюга Великаго, Вологды и Соли-Вычегодской.",Яренский,Iarenskii,"Lenskiy rayon, Arkhangelsk Oblast",Russia,RU,,,,,,POINT,4,135.0,Вологодское Намѣстничество,Яренский уезд,http://www.geonames.org/468983,
145,Аткарскъ,,29,45.00775,51.87185,городъ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=13,"АТКАРСКЪ, городъ Саратовскаго Намѣстничества; здѣсь въ городѣ бываетъ еженедѣльной торгъ, а въ округъ онаго въ нѣкоторымъ селеніяхъ на рѣчкѣ Терсѣ и Болондѣ торж-к и, гдѣ производятся продажи , также какъ и въ другихъ сей Губерніи мѣстахъ.",Аткарск,Atkarsk,"Atkarsk, Saratov Oblast",Russia,RU,,,,,,POINT,29,145.0,Саратовское Намѣстничество,,http://www.geonames.org/580420,Аткарский район
