,wkt_geom,OBJECTID_1,Post,Category,Group,Placename,REGION,SHEET,UnitID,Status,Uz_name,Prov_name,XCOORD,YCOORD,Unnamed: 14,text,ru_uezd,_type,page,name,alt_name,ru_prov,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id,admin1_partof,admin2_partof,lc_translit,translit_prov_stem,settle_prov_stem
623,POINT(37.95485934949480367 55.09046236425943022),6593,0,selo or sloboda,rural,Malino,4,Atlas 021,183,Regular,Kolomna,Moskovskaia,37.954859,55.090462,,"МАЛИНО, село Московской Губерніи. въ Коломенскомъ уѣздѣ. Въ немъ каждую недѣлю по вторникамъ бываетъ торгъ хлѣбомъ и деревянною посудою деревенскаго издѣлья.",Коломенскомъ уѣздѣ,село,71,Малино,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=70,"МАЛИНО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи. въ Коломенскомъ уѣздѣ. Въ немъ каждую недѣлю по вторникамъ бываетъ торгъ хлѣбомъ и деревянною посудою деревенскаго издѣлья.</span>",Малино,Московской Губернии,Коломенском уезде,московск,коломенск,московск|коломенск,81.0,1.0,81.0,Malino,moskovsk,moskovsk
625,POINT(36.82424378662145159 55.90979625211236481),6645,1,registered (pripisnoj) town,urban,Voskresensk,8,Atlas 021,184,Regular,Zvenigorod (Voskresensk),Moskovskaia,36.824244,55.90979599999999,,"ВОСКРЕСЕНСКЪ, городъ Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по середамъ и субботамъ торговыхъ дней, бываетъ въ Вознесены евъ день годовая ярмарка.",not_in_text,городъ,30,Воскресенскъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=29,"ВОСКРЕСЕНСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Московской Губерніи. Въ немъ, кромѣ еженедѣльныхъ по середамъ и субботамъ торговыхъ дней, бываетъ въ Вознесены евъ день годовая ярмарка.</span>",Воскресенск,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Voskresensk,moskovsk,moskovsk
626,POINT(36.68484333301682909 55.7428033918449799),6650,1,uezd town,urban,Zvenigorod,8,Atlas 021,184,Regular,Zvenigorod (Voskresensk),Moskovskaia,36.684843,55.742803,,"ЗВЕНИГОРОДЪ, городъ Московской Губерніи. Бываетъ ярмарка при Ставропигіальномъ Савинѣ Сторожевскомъ монастырѣ , отъ Звенигорода въ двухъ верстахъ, лѣтнимъ временемъ о десятой пятницѣ привозными изъ разныхъ мѣстѣ мѣлкими шелковыми товарамии рухлядью, а отъ крестьянства съѣстнымъ харчемъ.",not_in_text,городъ,45,Звенигородъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗВЕНИГОРОДЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Бываетъ ярмарка при Ставропигіальномъ Савинѣ Сторожевскомъ монастырѣ , отъ Звенигорода въ двухъ верстахъ, лѣтнимъ временемъ о десятой пятницѣ привозными изъ разныхъ мѣстѣ мѣлкими шелковыми товарами</span>и рухлядью, а отъ крестьянства съѣстнымъ харчемъ.",Звенигород,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Zvenigorod,moskovsk,moskovsk
629,POINT(36.17623821071399703 55.69760310511632895),6664,1,uezd town,urban,Ruza,9,Atlas 021,185,Regular,Ruza,Moskovskaia,36.176238,55.697603,,"РУЗА , городъ Московской Губерніи. Въ ономъ въ году бываютъ двѣ ярмарки : первая Іюня 29, вторая на Сырной недѣлѣ въ четвертокъ, и продолжаются по одному дню ; торгуютъ разными мѣлочными товарами.",not_in_text,городъ,98,Руза,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=97,"РУЗА , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Въ ономъ въ году бываютъ двѣ ярмарки : первая Іюня 29, вторая на Сырной недѣлѣ въ четвертокъ, и продолжаются по одному дню ; торгуютъ разными мѣлочными товарами.</span>",Руза,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Ruza,moskovsk,moskovsk
630,POINT(36.02932012697560538 55.51016000108188564),6551,1,uezd town,urban,Mozhaisk,10,Atlas 021,186,Regular,Mozhaisk (Borisov),Moskovskaia,36.02932,55.51016,,"МОЖАЙСКЪ, городъ Московской Губерніи. Въ ономъ , кромѣ еженедѣльнаго по понедѣльникамъ торговаго дня, ярмарка бываетъ въ имѣющихся въ семъ городѣ рядахъ Іюня 29 дня; на оную пріѣзжаютъ изъ ближнихъ къ нему городовъ , изъ Тулы , Калуги , Боровска и Вереи съ разными шелковыми и прочими мѣлочными товарами.",not_in_text,городъ,75,Можайскъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=74,"МОЖАЙСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Въ ономъ , кромѣ еженедѣльнаго по понедѣльникамъ торговаго дня, ярмарка бываетъ въ имѣющихся въ семъ городѣ рядахъ Іюня 29 дня; на оную пріѣзжаютъ изъ ближнихъ къ нему городовъ , изъ Тулы , Калуги , Боровска и Вереи съ разными шелковыми и прочими мѣлочными товарами.</span>",Можайск,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Mozhaisk,moskovsk,moskovsk
631,POINT(36.01593890653987273 55.42909682444496866),6554,0,registered (pripisnoj) town,urban,Borisov,10,Atlas 021,186,Regular,Mozhaisk (Borisov),Moskovskaia,36.015939,55.429097,,"БОРИСОВЪ, городокъ Московской Губерніи въ Можайскомъ уѣздѣ. Здѣсь бываетъ въ году одна ямарка 13 Сентября , на которую съѣзжаются купцы изъ Вереи , Боровска и Можайска; торгъ по большей части бываетъ съѣстными припасами и разными крестьянскими товарами , какъ - то колесами , дегтемъ и тому подобнымъ.",Можайскомъ уѣздѣ,городокъ,20,Борисовъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=19,"БОРИСОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городокъ</span><span class=""font0""> Московской Губерніи въ Можайскомъ уѣздѣ. Здѣсь бываетъ въ году одна ямарка 13 Сентября , на которую съѣзжаются купцы изъ Вереи , Боровска и Можайска; торгъ по большей части бываетъ съѣстными припасами и разными крестьянскими товарами , какъ - то колесами , дегтемъ и тому подобнымъ.</span>",Борисов,Московской Губернии,Можайском уезде,московск,можайск,московск|можайск,93.0,1.0,93.0,Borisov,moskovsk,moskovsk
635,POINT(31.38509411105114921 55.30377723239388388),11322,1,uezd town,urban,Porech'e,6,Atlas 022,325,Regular,Porech'e,Smolenskaia,31.385094,55.303777000000004,,"ПОРѢЧЬЕ , городъ Смоленскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки : первая Іюня мѣсяца въ десятую пятницу, вторая Сентября 8, въ день Рождества Богородицы ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными товарами.",not_in_text,городъ,91,Порѣчье,,Смоленскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=90,"ПОРѢЧЬЕ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Смоленскаго Намѣстничества. Въ ономъ бываетъ въ году двѣ ярмарки : первая Іюня мѣсяца въ десятую пятницу, вторая Сентября 8, въ день Рождества Богородицы ; купцы пріѣзжаютъ изъ близъ лежащихъ городовъ съ разными товарами.</span>",Поречье,Смоленского Наместничества,not_иn_text,смоленск,нот_ин_теxт,смоленск,31.0,31.0,,Porech'e,smolensk,smolensk
643,POINT(35.99411602739167648 56.06743738476239258),6684,1,uezd town,urban,Volokolamsk,11,Atlas 021,187,Regular,Volokolamsk,Moskovskaia,35.994116,56.067437,,"ВОЛОКОЛАМСКЪ, городъ Московской Губерніи и Провинціи. Въ ономъ бываетъ годовая Іюня 29 дня ярмарка. Пріѣзжаютъ изъ разныхъ городовъ и уѣздовъ съ разными крестьянскими и щепетильными мѣлкими товарами , также съ хлѣбомъ, сохами, косами, серпами и проч. сверхъ сего въ уѣздѣ онаго торжки бываютъ еженедѣльно: 1) въ селѣ Ярополчѣ въ пятокъ, 2) въ селѣ Ивашковѣ въ субботу, з ) въ селѣ Середѣ Стратилатовской въ середу. Годовыя ярмарки отправляются , 1) въ селѣ Ярополчѣ въ десятую пятницу, 2) въ селѣ Середѣ Стратилатовской Іюня 8 дня , 3 ) У Левкіева монастыря Августа 15 дня, 4) у Іосифове монастыря въ день Пятидесятницы и Сентября 8 дня,5) въ деревнѣ Беркуновѣ въ девятую путницу, 6) въ селѣ Бѣлой Колпи Августа 19 дня, 7) въ селѣ Раменьѣ Іюня дня, 8 ) въ селѣ Черлянковѣ Маія 9 дня, 9) въ селѣ Ховани Іюля 20 дня , 10) въ селѣ Муриковѣ Сентября 25 дня, 11) въ селѣ Снировѣ Ноября 21 дня. На сихъ ярмаркахъ торгуютъ по одному дню разными крестьянскими товарами.",not_in_text,городъ,28,Волоколамскъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=27,"ВОЛОКОЛАМСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ </span><span class=""font0"">Московской Губерніи и Провинціи. Въ ономъ бываетъ годовая Іюня 29 дня ярмарка. Пріѣзжаютъ изъ разныхъ городовъ и уѣздовъ съ разными крестьянскими и щепетильными мѣлкими товарами , также съ хлѣбомъ, сохами, косами, серпами и проч. сверхъ сего въ уѣздѣ онаго торжки бываютъ еженедѣльно: 1) въ селѣ Ярополчѣ въ пятокъ, 2) въ селѣ Ивашковѣ въ субботу, з ) въ селѣ Середѣ Стратилатовской въ середу. Годовыя ярмарки отправляются , 1) въ селѣ Ярополчѣ въ десятую пятницу, 2) въ селѣ Середѣ Стратилатовской Іюня 8 дня , </span><span class=""font0"" style=""font-weight:bold;"">3</span><span class=""font0""> ) У Левкіева монастыря Августа 15 дня, 4) у Іосифове монастыря въ день Пятидесятницы и Сентября 8 дня,</span>5) въ деревнѣ Беркуновѣ въ девятую путницу, 6) въ селѣ Бѣлой Колпи Августа 19 дня, 7) въ селѣ Раменьѣ Іюня дня, 8 ) въ селѣ Черлянковѣ Маія 9 дня, 9) въ селѣ Ховани Іюля 20 дня , 10) въ селѣ Муриковѣ Сентября 25 дня, 11) въ селѣ Снировѣ Ноября 21 дня. На сихъ ярмаркахъ торгуютъ по одному дню разными крестьянскими товарами.",Волоколамск,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Volokolamsk,moskovsk,moskovsk
644,POINT(36.81198377671466204 56.33964013394345471),6745,1,uezd town,urban,Klin,12,Atlas 021,188,Regular,Klin,Moskovskaia,36.811984,56.33964,,"КЛИНЪ, городъ Московской Губерніи. Въ ономъ бываетъ годовая ярмарка предъ пятницею въ субботу; на оную пріѣзжаютъ изъ другихъ уѣздовъ, и еженедѣльно торгуютъ въ субботу разными крестьянскими товарами , колесами и всякою деревянною посудою и прочими съѣстными припасами; частію бываютъ и купцы изъ нѣкоторыхъ окрестныхъ городовъ съ мѣлочными шелковыми и бумажными товарами.",not_in_text,городъ,55,Клинъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=54,"КЛИНЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Въ ономъ бываетъ годовая ярмарка предъ пятницею въ субботу; на оную пріѣзжаютъ изъ другихъ уѣздовъ, и еженедѣльно торгуютъ въ субботу разными крестьянскими товарами , колесами и всякою деревянною посудою и прочими съѣстными припасами; частію бываютъ и купцы изъ нѣкоторыхъ окрестныхъ горо</span>довъ съ мѣлочными шелковыми и бумажными товарами.",Клин,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Klin,moskovsk,moskovsk
651,POINT(37.48948844999760865 56.32038873350703767),6754,1,uezd town,urban,Dmitrov,13,Atlas 021,189,Regular,Dmitrov,Moskovskaia,37.489488,56.320389,,"ДМИТРОВЪ, городъ Московской Губерніи. Въ ономъ бываетъ въ году одна ярмарка, которая начинается съ 15 Сентября , и продолжается недѣлю ; съ товарами пріѣзжаютъ изъ разныхъ ближиихъ городовъ , а именно изъ Москвы ,кзъ Переславля Залѣснаго , изъ Ярославля; изъ Катина и изъ смѣжныхъ мѣстъ. Товары оные состоятъ въ щепетьѣ, шапкахъ, сапогахъ и прочей всякой мѣлочи; также торговыхъ дней въ недѣлѣ бываетъ два: понедѣльникъ и четвер токъ.",not_in_text,городъ,39,Дмитровъ,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=38,"ДМИТРОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Въ ономъ бываетъ въ году одна ярмарка, которая начинается съ 15 Сентября , и продолжается недѣлю ; съ товарами пріѣзжаютъ изъ разныхъ ближиихъ городовъ , а именно изъ Москвы ,</span>кзъ Переславля Залѣснаго , изъ Ярославля; изъ Катина и изъ смѣжныхъ мѣстъ. Товары оные состоятъ въ щепетьѣ, шапкахъ, сапогахъ и прочей всякой мѣлочи; также торговыхъ дней въ недѣлѣ бываетъ два: понедѣльникъ и четвер токъ.",Дмитров,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0,1.0,,Dmitrov,moskovsk,moskovsk
652,POINT(37.27326699665531606 56.53837622901655635),6761,0,selo or sloboda,rural,Ramen'e,13,Atlas 021,189,Regular,Dmitrov,Moskovskaia,37.273267,56.538376,,"РАМЕНЬЕ, село Московской Губерніи въ Волоколамскомъ уѣздѣ. Здѣсь бываютъ въ году ярмарки Іюня 24 и 18 Сентября ; торгуютъ по одному дню разными крестьянскими товарами.",Волоколамскомъ уѣздѣ,село,94,Раменье,,Московской Губерніи,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=93,"РАМЕНЬЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Волоколамскомъ уѣздѣ. Здѣсь бываютъ въ году ярмарки Іюня 24 и 18 Сентября ; торгуютъ по одному дню разными крестьянскими товарами.</span>",Раменье,Московской Губернии,Волоколамском уезде,московск,волоколамск,московск|волоколамск,56.0,1.0,56.0,Ramen'e,moskovsk,moskovsk
657,POINT(40.52147001257681325 64.54790624136431632),1414,1,provincial town,urban,Arkhangel'sk,4,Atlas 050,208,Regular,Arkhangel'sk,Arkhangel'skaia,40.52147,64.54790600000001,,"АРХАНГЕЛЬСКЪ, главный городъ Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи , кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",not_in_text,главный городъ,12,Архангельскъ,,Архангельскъ Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=11,"АРХАНГЕЛЬСКЪ, </span><span class=""font0"" style=""font-style:italic;"">главный городъ</span><span class=""font0""> Намѣстничества сего имени. Въ немъ бываетъ каждой годъ ярмарка , которая начинается въ Маіѣ мѣсяцѣ съ приходомъ изъ Россіи барокъ, а изъ за моря кораблей; прямая же, или валовая начинается всегда въ Іюнѣ, а оканчивается въ первыхъ числахъ Октября ; на ней бываетъ торговля ме-</span>жду иностранными и Россійскими купцами Россійскими и иностранными товарами , продолжающаяся во время мореплаванія, на которую ярмарку иностранные купцы всякіе иностранные товары чрезъ море на корабляхъ изъ чужихъ краевъ къ Архангельскому порту привозятъ; а Россійскіе въ тѣ мѣста отпускаютъ всякіе привозимые чрезъ верховые города водою и сухимъ путемъ Россійскіе, Китайскіе, Персидскіе, Турецкіе и прочіе Азіатскіе и другіе иностранные товары для народнаго употребленія, а не въ отвозъ въ чужіе край, а именно же: привозимыя вина Французскія, Португальскія, Гишпанскія и Нѣмецкія лучшія и ординарныя, ромъ, уксусъ, водка венгерская, еликсиръ , винной, камень , сукна Голландскія , Аглинскія , Гамбурскія, Шлезскія и прочія лучшія и ординарныя, лоскутья и покроми суконныя , стамеды , штофы и прочія тому подобныя шерстяныя матеріи ; штофы и прочія шелковыя и полушелковыя парчи и ленты , выбойки , полотна Голландскія, олово въ блюдахъ и торѣлкахъ и прочихъ мѣдочахъ , прутовое и въ слиткахъ , свинецъ, желѣзо листовое , иглы , ножи , вилки , ножницы и прочіе желѣзные товары; квасцы, ртуть, сѣра горючая , шелакъ, шпіатеръ, масло деревянное, винныя ягоды , изюмъ , коринка , смоквы, черносливъ, ядры мигдальныя , кофе , чай , перецъ , орѣшки чернильныя , сандалъ, сахаръ, лимоны, померанцы и прочіе фрукты свѣжіе и въ винѣ; гвоздика, корица и прочія пряныя зелья ; канфара, ладонъ росной и простой, изъ гумми разныхъ сортовъ; посуда стеклянная, цѣнинная и каменая , стеклы окончинныя и бутылки , сыры , патока черная, пшено сорочинское , свѣтильня бумажная, бобры, выдры, лисицы; краски , консель брусковая, киноварь, оринакъ; чулки шелковые и шерстяные , также и прочіе отпускные , какъ - то: хлѣбъ , сѣмя льняное, сало говяжье и ворванная смола, юфть, желѣзо полосное и гвозди желѣзные , пенька, ленѣ , рогожии кульки рогожные ; щетина , канаты и веревки пеньковыя и пакальныя , пряжа канатная, воскъ, гривы конскія , кости , кожи моржевыя , мыло ; мягкая рухлядь , куницы , горнаcтаи , россомахи , бѣлки , песцы, зайчины , мѣхи бѣльи и заячьи </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">кожи медвежьи, кошечьи и волчьи; полотна гладкія и салфеточныя широкія и узкія и брань уѣздной работы, Фламскія парусныя и равендукъ холстъ , хрящъ, посуда деревянная, свѣчи сальныя, языки говяжьи копченые, губа лиственная , клей Сибирской, кожи подошевныя и ворванныя, сукна сермяжныя и чирковыя туфли, чаи жуланъ и простой, бадьянъ, масло коровье льняное и конопляное, медъ сырецъ, рога оленьи , мясо говяжье соленое , семга соленая , пряники медовые.",Архангельск,Архангельск Наместничества,not_иn_text,архангельск,нот_ин_теxт,архангельск,2.0,2.0,,Arkhangel'sk,arkhangel'sk,arkhangel'sk
660,POINT(36.27631065129808974 61.00725249457926225),6832,1,uezd town,urban,Vytegra,3,Atlas 048,216,Regular,Vytegra,Olonetskaia,36.276311,61.007252,,"ВЫТЕГРА, городъ Олонецкаго Намѣстничества. Здѣсь бываютъ въ году четыре ярмарки : первая Февраля 2, вторая Августа 16, третія Октября 1, четвертая 9 Маія. Сіи ярмарки учреждены бывшимъ Господиномъ НовогороДскимъ Губернаторомъ Сиверсомъ.",not_in_text,городъ,31,Вытегра,,Олонецкаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=30,"ВЫТЕГРА, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Олонецкаго Намѣстничества. Здѣсь бываютъ въ году четыре ярмарки : первая Февраля 2, вторая Августа 16, третія Октября 1, четвертая 9 Маія. Сіи ярмарки учреждены бывшимъ Господиномъ НовогороДскимъ Губернаторомъ Сиверсомъ.</span>",Вытегра,Олонецкого Наместничества,not_иn_text,олонецк,нот_ин_теxт,олонецк,20.0,20.0,,Vytegra,olonetsk,olonetsk
662,POINT(30.71406554010084378 61.71155506909586563),2580,1,uezd town,urban,Serdobol',IV 8,Atlas 061,222,Grand Duchy of Finland,Kekskhol'ms Norra,Vyborg,30.714066,61.711555000000004,,"СЕРДОБОЛЬ , съ 1784 году городъ Выборгскаго Намѣстничества. Въ ономъ издавна ежегодно бываетъ ярмарка въ Ген-варѣ мѣсяцѣ, на которую, кромѣ Россіанъ, съѣжаются Россійскіе и Шведскіе Фины и Корелы съ шкурками куницъ, выдръ, норекъ , рысей и проч.",not_in_text,городъ,105,Сердоболь,,Выборгскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=104,"СЕРДОБОЛЬ , съ 1784 году </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Выборгскаго Намѣстничества. Въ ономъ издавна ежегодно бываетъ ярмарка въ Ген-варѣ мѣсяцѣ, на которую, кромѣ Россіанъ, съѣжаются Россійскіе и Шведскіе Фины и Корелы съ шкурками куницъ, выдръ, норекъ , рысей и проч.</span>",Сердоболь,Выборгского Наместничества,not_иn_text,выборг,нот_ин_теxт,выборг,6.0,6.0,,Serdobol',vyborg,vyborg
663,POINT(28.23195692873987284 61.04882928981116663),2127,1,uezd town,urban,Vil'manstrand,IV 3,Atlas 061,229,Grand Duchy of Finland,Lap'vesi,Vyborg,28.231957,61.048829000000005,,"ВИЛЬМАНСТРАНДЪ , городъ Выборгскаго Намѣстничества. Въ семъ городѣ бываетъ въ году два раза ярмарка : первал 8, а вторая 29 Августа мѣсяца.",not_in_text,городъ,28,Вильманстрандъ,,Выборгскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=27,"ВИЛЬМАНСТРАНДЪ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Выборгскаго Намѣстничества. Въ семъ городѣ бываетъ въ году два раза ярмарка : первал 8, а вторая 29 Августа мѣсяца.</span>",Вильманстранд,Выборгского Наместничества,not_иn_text,выборг,нот_ин_теxт,выборг,6.0,6.0,,Vil'manstrand,vyborg,vyborg
667,POINT(31.58525503721798344 50.60672583458642038),3436,0,minor town (mestechko),urban,Bykov,2,Atlas 023,294,Regular,Kozelets,Chernigovskaia,31.585255,50.606726,,"БЫКОВЪ, мѣстечко Черниговскаго Намѣстничества въ Пирятинскомъ уѣздѣ. Здѣсь бываетъ въ году четыре ярмарки: первая въ день Преполовенія,вторая Августа 1, третія Октября 14, четвертая Ноября 23 числа. Сверхъ сего бываютъ торжки каждонедѣльно въ понедѣльникъ ; торгуютъ на оныхъ разными мѣлочными товарами и привозимою на ярмарки изъ Донскихъ станицъ рыбою ; жители продаютъ рогатой скотъ , лошадей , хлѣбъ, смолу, горячее вино и прочее. Также привозятъ сюда для продажи жителямъ Крымскую соль.",Пирятинскомъ уѣздѣ,мѣстечко,22,Быковъ,,Черниговскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=21,"БЫКОВЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничества въ Пирятинскомъ уѣздѣ. Здѣсь бываетъ въ году четыре ярмарки: первая въ день Преполовенія,</span>вторая Августа 1, третія Октября 14, четвертая Ноября 23 числа. Сверхъ сего бываютъ торжки каждонедѣльно въ понедѣльникъ ; торгуютъ на оныхъ разными мѣлочными товарами и привозимою на ярмарки изъ Донскихъ станицъ рыбою ; жители продаютъ рогатой скотъ , лошадей , хлѣбъ, смолу, горячее вино и прочее. Также привозятъ сюда для продажи жителямъ Крымскую соль.",Быков,Черниговского Наместничества,Пирятинском уезде,черниговск,пирятинск,черниговск|пирятинск,107.0,38.0,107.0,Bykov,chernigovsk,chernigovsk
668,POINT(31.53470139568381114 50.67993388831105506),3437,0,selo or sloboda,rural,Veprik,2,Atlas 023,294,Regular,Kozelets,Chernigovskaia,31.534701,50.679934,,"ВЕПРИКЪ, мѣстечко Черниговскаго Намѣстничлства въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Маія 9, въ день Святителя Николая, вторая Августа29, въ день усѣкновенія главы Іоанна Предтечи, третія Ноября 21, въ день входа во храмъ Пресвятыя Богородицы. На оныхъ торгуютъ рогатымъ скотомъ , рыбою, разнымъ хлѣбомъ и всякими съѣстными припасами. Здѣсь бываетъ также ежедѣльной торгъ въ воскресенье большею частію хлѣбомъ.",Гадяцкомъ уѣздѣ,мѣстечко,26,Веприкъ,,Черниговскаго Намѣстничества,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=25,"ВЕПРИКЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничлства въ Гадяцкомъ уѣздѣ. Въ ономъ бываетъ въ году три ярмарки : первая Маія 9, въ день Святителя Николая, вторая Августа</span>29, въ день усѣкновенія главы Іоанна Предтечи, третія Ноября 21, въ день входа во храмъ Пресвятыя Богородицы. На оныхъ торгуютъ рогатымъ скотомъ , рыбою, разнымъ хлѣбомъ и всякими съѣстными припасами. Здѣсь бываетъ также ежедѣльной торгъ въ воскресенье большею частію хлѣбомъ.",Веприк,Черниговского Наместничества,Гадяцком уезде,черниговск,гадяцк,черниговск|гадяцк,58.0,38.0,58.0,Veprik,chernigovsk,chernigovsk
